company,job,number_of_evaluations
McKinsey & Company,Data Scientist - McKinsey Analytics,361 reviews
McKinsey & Company,Manufacturing Data Scientist - McKinsey Analytics,361 reviews
Uber,Behavioral Data Scientist,-
Cognizant,Data Scientist,9.959 reviews
Framer,Data Scientist,-
Van Lanschot,Data Scientist,15 reviews
Van Lanschot Kempen,Data Scientist,-
mediaan,Data Scientist,-
Liberty Global,Data Scientist,30 reviews
De Nederlandsche Bank,Business Intelligence ontwikkelaar,16 reviews
McKinsey & Company,"Business Intelligence Analyst, People Analytics & Measurement",361 reviews
Bloomon,Data Scientist - Customer Analytics,-
MessageBird,Machine Learning Engineer,-
Elsevier,Machine Learning Specialist,469 reviews
Bright Computing,Machine Learning Specialist,-
AnalysePeople,1 jarig Traineeship – Data Science/Advanced Analytics – Luchtvaart,-
Uber,"Data Scientist I, Tech",-
IQVIA,Junior Statistician Analyst,95 reviews
Booking.com,Data Scientist - Machine Learning,413 reviews
Telegraaf Media Groep,Data Traffic Analyst,28 reviews
Annual Insight,Junior Data Engineer,-
Booking.com,Data Scientist - Analytics,413 reviews
Senfal,Vacature: Energie Data-Analist,-
Deloitte,Business analyst Data Science Financial Advisory,6.694 reviews
ITL Netherlands,Analyst - Data Science,-
Ikea,Intern Data Analyst: IKEA Service Office (32-40 hours),4.861 reviews
Eaglecliff,Data Scientist,-
AnalysePeople,Data Science Engineer – Financial Institute,-
AFM,Data Science Traineeship,-
Alliander,Junior Data Analist - Technisch Traineeship,24 reviews
Deloitte,Afstudeerstage Data & Reporting Advisory,6.694 reviews
Netprofiler,Data Science & Digital Insights Consultant | 32-40u pw,-
Deloitte,Business Intelligence Consultant,6.694 reviews
Synechron,Data Scientists,-
AnalysePeople,Lead Data Scientist | Financieel | Amsterdam,-
ABN AMRO Bank,Data Science Talent Programme,1.008 reviews
KLM,Duaal Student Decision Support / Data Science / Operations Research,253 reviews
Elsevier,Business Analyst - Data Analytics,469 reviews
Deloitte,Manager Data Science,6.694 reviews
Optiver,Data Analyst,10 reviews
Priogen,Data Analyst,-
Takeaway.com,Data Analyst,3 reviews
KPMG,Consultant Data Science,4.383 reviews
Atos,Internship - Marketing Analytics and Data Scientist,1.626 reviews
KPMG,Manager Data Analytics,4.383 reviews
Elsevier,Data and Reporting Analyst,469 reviews
Fontem,CRM Data Analyst - Fontem Ventures,-
Imperial Tobacco,CRM Data Analyst - Fontem Ventures,65 reviews
Align Technology,BI Analyst,-
Gemeente Amsterdam,Informatiemanager Brandweer Amsterdam-Amstelland,93 reviews
Triple A - Risk Finance,Consultant Data Analytics,-
Deloitte,Analyst Forensic Technology,6.694 reviews
GGZ InGeest,Microsoft Business-Intelligence Developer Zorg,14 reviews
EY,Advisor WO - Actuaris / Econometrist (EMEIA FSO),5.232 reviews
Luma Group,VACATURE DATA SCIENTIST,-
Deloitte,Working Student Data Science Financial Advisory,6.694 reviews
Deloitte,Graduate Internship Data|Text Mining|Python,6.694 reviews
Knab,Lead Data Scientist,-
Uber,Data Science Manager,-
True Legends,STAGE DATA SCIENCE,-
oxilary,Data science – FinTech,-
Elsevier,VP Data Science,469 reviews
Ziggo,Sr Data Scientist,2.455 reviews
VodafoneZiggo,Sr Data Scientist,2.455 reviews
Antoni van Leeuwenhoek Ziekenhuis,Postdoc Data Scientist in radiotherapy,6 reviews
KLM,Operations Research Specialist,253 reviews
Google,"Strategic Cloud Data Engineer, Google Cloud Professional Services",2.392 reviews
ABN AMRO Bank,Team Lead Data Scientists,1.008 reviews
Deloitte,Big Data Engineer,6.694 reviews
IMC Financial Markets,Business Analytics Intern,-
PwC,Afstudeerstage Data Analytics,5.524 reviews
PHIND,Teamlead Data Science,7 reviews
Picnic,Data Engineer,25 reviews
McKinsey & Company,Data Engineer - Digital McKinsey,361 reviews
Nuon,Agile Data Engineer,59 reviews
Takeaway.com,Data Engineer,3 reviews
PHIND,Data Science & Analytics Traineeship,7 reviews
CBRE,Business Intelligence Analyst,1.990 reviews
ABN AMRO Bank,Senior Data Scientist,1.008 reviews
Deloitte,Vacancy Junior Consultant Big Data Management,6.694 reviews
EY i3,Predictive Analytics Consultant,-
Universiteit van Amsterdam,PhD candidate or Postdoctoral researcher in Machine Learning & Deep Learning,19 reviews
HTBA,Business analist / Data scientist en werken met de nieuwste technieken?,-
Antoni van Leeuwenhoek Ziekenhuis,Research position – Image Guided Surgery,6 reviews
Deloitte,Technology & Data Traineeship,6.694 reviews
Henkel AG,Business Science Manager,374 reviews
PHIND,Data Analytics Consultant,7 reviews
Deloitte,Werkstudent Forensic Technology - Systeembeheer & Forensisch Onderzoek,6.694 reviews
AnalysePeople,Big Data developer – Banking,-
Darwin Recruitment,Data Scientist - HR Analytics,-
Darwin Recruitment,Data Scientist,-
NKI-AVL,Research Technician,-
PHIND,Data Analytics Traineeship,-
Xccelerated,Data Science Accelerator bij Xccelerated (Junior),-
Wavemaker,WAVEMAKER | Strategy Director,-
G-Star Raw,BUSINESS INTELLIGENCE ANALYST,-
EY,Manager Forensic Data Analytics,-
Intertrust,Data Modeler,-
Deloitte,Consultant Data & Reporting Advisory,-
Triple A - Risk Finance,Junior/Medior Consultant Data Analytics,-
Bloomon,Customer Analytics & Systems Internship,-
Randstad,data scientist randstad groep it - diemen,11.074 reviews
DXC,"Technical Consultant - Big Data, Analytics & Data Management",1.377 reviews
Booking.com,Marketing Analyst,413 reviews
Universiteit van Amsterdam,PhD position on Reinforcement Learning and Implicit Prejudice,19 reviews
CareerValue,"Lead Data Scientist bij Data Science startup, uniek!",3 reviews
IQVIA,Internship Clinical Research,95 reviews
KPMG,Commerciële Sr. Consultant Data & Analytics,4.383 reviews
PwC,Data and Software Specialist,5.524 reviews
Nelson Schoenen,Fullstack Software Developer (Python/Django),6 reviews
PHIND,Lead Data Science Consultant,7 reviews
True Legends,Internationaal IT Traineeship,-
Cognizant,Graduate Analyst - Junior Business Analyst / Junior Business Intelligence consultant,9.959 reviews
AnalysePeople,Medior/Senior Data Scientist | Detachering | Amsterdam,-
AnalysePeople,Senior Data Scientist – Intelligente Apps,-
Liberty Global,Business Intelligence Intern,30 reviews
EY,Advisor WO - Supply Chain & Operations,5.232 reviews
Otravo B.V.,Digital Marketing Analist – dé VakantieDiscounter,-
albelli,Customer Intelligence Analyst,3 reviews
Ezwim,Data processor – Amsterdam,-
C.H. Robinson,IT Business Analyst,-
Universiteit van Amsterdam (UvA),PhD position on Reinforcement Learning and Implicit Prejudice,-
HelloFresh,Jr. Offline Marketing Manager,195 reviews
Deloitte,Consultant Regulatory Analytics,6.694 reviews
Magnus,YOUNG PROFESSIONAL ANALYTICS BIJ TOMMY HILFIGER & MAGNUS,-
KPMG,Scriptant IT Enabled Business Transformation,4.383 reviews
Vrije Universiteit Amsterdam,PhD candidate or Postdoc in Genetic Data Analysis,27 reviews
Deloitte,Data Visualisation Specialist,6.694 reviews
Y Group,Analyst – Strategy & Execution,-
Annual Insight,Power BI Specialist,-
Knab,"Data Engineer (Datalab, Python, Java / Scala, ETL, AWS)",-
Otravo B.V.,Junior/Medior Product Owner Air,-
uniQure,Junior Technician Analytical Development - Analytical Support in Amsterdam (NL),-
trainee.nl,Junior Data Analist in omgeving Amsterdam,-
Universiteit van Amsterdam,Six Lecturers Artificial Intelligence / Information Studies,-
Deloitte,Manager Digital Analytics,-
Fahr-Becker,Big Data Scientist,-
PwC,Associate - Digital Assurance Academy,-
PwC,Consultant Deal Analytics,-
AnalysePeople,Medior Data Scientist | Online Marketing Bureau,-
Squla,Developer with Unity Skills - Medior Level,-
