company,job,number_of_evaluations
Booking.com,Data Scientist - Machine Learning,413 reviews
McKinsey & Company,Data Scientist - McKinsey Analytics,361 reviews
McKinsey & Company,Manufacturing Data Scientist - McKinsey Analytics,361 reviews
EY,Big Data Scientist.,5.232 reviews
oxilary,Pragmatic Data Scientist,-
TomTom,Data Scientist,41 reviews
Cognizant,Data Scientist,9.959 reviews
Van Lanschot,Data Scientist,15 reviews
Van Lanschot Kempen,Data Scientist,-
mediaan,Data Scientist,-
Optiver,Data Scientist,10 reviews
Templeton and Partners,Data Scientist,-
Universiteit van Amsterdam,PhD candidate or Postdoctoral researcher in Machine Learning & Deep Learning,19 reviews
Align Technology,BI Analyst,-
McKinsey & Company,"Data Scientist - Ingenuity, McKinsey Solutions",361 reviews
mediaan,Software Engineer Junior,-
Liberty Global,Data Scientist,30 reviews
Cognizant,Graduate Analyst - Junior Business Analyst / Junior Business Intelligence consultant,9.959 reviews
Bloomon,Data Scientist - Customer Analytics,-
Atos,Junior Data Scientist (P),1.626 reviews
Uber,"Data Scientist I, Tech",-
Synechron,Data Scientists,-
Magno IT,NLP Scientist,-
De Persgroep,Big Data Engineer (English),76 reviews
De Persgroep,Big Data Engineer,76 reviews
3D Hubs,Data Engineer,-
MessageBird,Data QA Engineer,-
MessageBird,Data Engineer,-
3D Hubs,Software Engineer,-
Henkel AG,Data Analyst,374 reviews
AnalysePeople,Big Data Engineer – Media,-
DANONE,Global Digital Data Scientist,887 reviews
TomTom,Software Engineer for Autonomous Driving Tooling,41 reviews
Google,"Strategic Cloud Data Engineer, Google Cloud Professional Services",2.392 reviews
oxilary,Data science – FinTech,-
Elsevier,VP Data Science,469 reviews
Albert Heijn,Data Scientist Albert Heijn Datakitchen,2.000 reviews
Albert Heijn,Data Scientist,2.000 reviews
AnalysePeople,Global Data Scientist | FMCG | Amsterdam,-
AnalysePeople,Data Scientist – Internet – Amsterdam (Dutch Speaking),-
Antoni van Leeuwenhoek Ziekenhuis,Postdoc Data Scientist in radiotherapy,6 reviews
Eaglecliff,Data Scientist,-
AFM,Data Science Traineeship,-
Microsoft,WE HQ: Data Solution Architect - Retail,4.486 reviews
AnalysePeople,1 jarig Traineeship – Data Science/Advanced Analytics – Luchtvaart,-
IBM,Infrastructure and Platform Architect,21.725 reviews
Elsevier,Knowledge Graph Scientist,469 reviews
eBay Inc.,Software Engineer,1.395 reviews
DXC,"Technical Consultant - Big Data, Analytics & Data Management",1.377 reviews
AnalysePeople,Big Data developer – Banking,-
Textkernel,Data Consultant,-
Triple A - Risk Finance,Consultant Data Analytics,-
Expand Online,Data Consultant,-
PwC,Consultant Data Analytics,5.524 reviews
Deptagency,Data Consultant,-
KPMG,Consultant Data Science,4.383 reviews
KLM,Operations Research Specialist,253 reviews
Ziggo,Sr Data Scientist,2.455 reviews
VodafoneZiggo,Sr Data Scientist,2.455 reviews
Universiteit van Amsterdam (UvA),PhD candidate or Postdoctoral researcher in Machine Learning & Deep Learning,-
IceMobile,Power BI Engineer,-
Cognizant,Graduate Analyst - Automation Consultant,9.959 reviews
ABN AMRO Bank,Quantitative Risk Analyst,1.008 reviews
Dept,Data Consultant,-
Digital Source,R&D Engineer Autonomous Driving ML/Computer Vision,-
ABN AMRO Bank,Senior Data Scientist,1.008 reviews
Knab,Lead Data Scientist,-
Textkernel,Big data software engineer,-
Deloitte,Manager Data Science,6.694 reviews
Harnham,DATA SCIENTIST- MACHINE LEARNING ENGINEER,-
PwC,Robotics (RPA) specialist,5.524 reviews
AnalysePeople,Lead Data Scientist | Financieel | Amsterdam,-
Deloitte,IoT Engineer Consultant,6.694 reviews
eBay Inc.,Technology Analyst,1.395 reviews
Elsevier,NLP Specialist,469 reviews
Universiteit van Amsterdam,Onderwijsassistent Kunstmatige Intelligentie,19 reviews
Pegasystems,Principal Software Engineer,-
McKinsey & Company,Senior Data Scientist - McKinsey Analytics,361 reviews
McKinsey & Company,Manufacturing Senior Data Scientist - McKinsey Analytics,361 reviews
Payments & Cards Network,Senior Data Scientist (Freelance),-
AnalysePeople,Senior Data Scientist | Publisher | Amsterdam,-
AnalysePeople,Senior Data Scientist – Intelligente Apps,-
Deloitte,IoT Engineer Manager,6.694 reviews
Devoteam,Big Data / Scala Developer,-
AnalysePeople,Medior/Senior Data Scientist | Online Media | Amsterdam,-
Deloitte,Big Data Manager,6.694 reviews
KPMG,Commerciële Sr. Consultant Data & Analytics,4.383 reviews
Textkernel,Commercial Trainee / Junior Consultant,-
AnalysePeople,Senior Data Scientist – Financial institute – Amsterdam,-
Darwin Recruitment,Scala Developer - Machine learning platform - €70K,-
Universiteit van Amsterdam,Six Lecturers Artificial Intelligence / Information Studies,19 reviews
Sinai Centrum,Promovendus,3 reviews
Optiver,Algorithmic Trader,10 reviews
SoftwareONE,TBDM,-
NKI-AVL,Computational biologist: tumor immunology,4 reviews
Service Driven Professionals,"Data Warehousing Architect, AWS",-
Service Driven Professionals,"MS SQL Database Administrator, big data environment",-
Universiteit van Amsterdam,PhD candidate in Academic Search,19 reviews
Universiteit van Amsterdam,PhD candidate in Entrepreneurship & Innovation,19 reviews
NLR,Enthousiaste Datascientist die houdt van programmeren,-
Steps,Online Marketeer,19 reviews
Senfal,Vacature: Energie Data-Analist,-
ServiceNow,"Solution Consultant, Platform",-
Deloitte,"Manager Analytics (Energy, Resources and Manufacturing Industry)",6.694 reviews
Universiteit van Amsterdam (UvA),PhD candidate in Academic Search,-
Universiteit van Amsterdam (UvA),PhD candidate in Entrepreneurship & Innovation,-
Darwin Recruitment,Data Scientist - HR Analytics,-
Darwin Recruitment,Data Scientist,-
Knab,"Data Engineer (Datalab, Python, Java / Scala, ETL, AWS)",-
Deloitte,(Senior) Manager Data Strategy & Governance,6.694 reviews
Cognizant,Graduate Analyst - Robotics & Intelligent Process Automation Insurance,9.959 reviews
eBay Inc.,Senior Data Scientist,1.395 reviews
EY,Manager Forensic Data Analytics,5.232 reviews
Textkernel,Agile Coach / Scrum Master,-
Xccelerated,Data Science Accelerator bij Xccelerated (Junior),-
Cmotions Recruitment,Data Scientist Conversie Optimalisatie,-
Wortell,Data & AI Consultant,-
Bright Computing,Senior Sales Professional EMEA,-
Textkernel,Product Manager,-
VUmc,Klinisch Dataspecialist,33 reviews
NKI-AVL,Master Student - Convolutional neural networks for localization of high-grade prostate cancer using quantitative MRI,4 reviews
Deloitte,Consultant Regulatory Analytics,6.694 reviews
Arkin,Promovendus,11 reviews
KPMG,Scriptant Cyber,4.383 reviews
Koning & Hartman,Consultant Industrial Automation,6 reviews
Textkernel,"Shape the development of AI and HR Technology: opportunities in engineering, product management, consultancy, and sales",-
Uber,Data Science Manager,-
Harnham,DATA SCIENTIST- ENGINEERING,-
Universiteit van Amsterdam,Assistant or Associate Professor in Big Data Statistics and Econometrics for Business,19 reviews
Microsoft,Cloud Solution Architect,4.486 reviews
Magno IT,Python Developer - monitoring tool video services,-
Growth Tribe,Execution Driven Growth Hacker Intern,-
Philips,Senior Data Scientist Finance & Supply Chain,2.724 reviews
Pegasystems,Test Automation Engineer,-
