company,job,number_of_evaluations
Werben Capital Human,Arquitecto Big Data,-
EC SISTEMAS SRL,Arquitecto Big Data Ssr Sr,26 evaluaciones
JP Morgan Chase,Business Analyst - Data Oriented,19.840 evaluaciones
Emergencias,Analista Data Engineer,20 evaluaciones
ElementumARG,Data Analyst,-
AgileEngine,HR Generalist,-
Jampp,Data Operations Analyst (Junior),-
EC SISTEMAS SRL,Analista Big Data IT Sr. REF 156/18,26 evaluaciones
Etermax,Sr Gaming Data Developer,-
Grandata,Data Engineer (Mexico-Argentina),-
Tecnosoftware,Arquitecto Big Data,2 evaluaciones
myZone Media Inc.,Social Media Coordinator,-
JP Morgan Chase,TAP 2018,19.840 evaluaciones
Taynes,BIG DATA,-
JP Morgan Chase,Software Data Engineer,19.840 evaluaciones
Emergencias,RRHH - Reclutador de IT,20 evaluaciones
JP Morgan Chase,ESX System Administrator,19.840 evaluaciones
IBM,Business Development Executive,21.636 evaluaciones
JP Morgan Chase,Applications Support,19.840 evaluaciones
EXPERIAN,Consultancy Consultant 10069,783 evaluaciones
Coa S.A.,Desarrolladores ETL (Buenos Aires),-
JP Morgan Chase,Technology Analyst Program 2018 - Buenos Aires,19.840 evaluaciones
IBM,Client Solution Executive,21.636 evaluaciones
Altoros,Full-Stack Ethereum DApp Developer,-
RecargaPay,Business Analyst,-
JP Morgan Chase,Applications Development,19.840 evaluaciones
Unilever,Digital Marketing- Data Analyst,5.114 evaluaciones
JP Morgan Chase,Program Manager,19.840 evaluaciones
Cielo Talent,Recruitment Specialist,-
JP Morgan Chase,Program Management - VP,19.840 evaluaciones
Swarovski,DISTRICT MANAGER,478 evaluaciones
Imagecampus,Data Engineer Jr.,-
Wall Chase,Líder de Transformación Digital,-
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL BUENOS AIRES,35 evaluaciones
JP Morgan Chase,Project Execution,19.840 evaluaciones
ADN - Recursos Humanos,Ref 9876 Jefe Data Science,-
Etermax,Ingeniero de Datos Senior,-
JP Morgan Chase,Business Analyst,19.840 evaluaciones
Etermax,Sr Gaming Data Scientist,-
Cambio Laboral IT,Analista Funcional - BI/ con experiencia en Pentaho y/o Hadoop.,-
Dia%,Jefe de Analítica de negocio,2.502 evaluaciones
Uber,"Operations & Strategy Manager, Argentina",444 evaluaciones
amdocs,Sales Director,817 evaluaciones
Global Eagle Entertainment,"Manager, Sarbanes Oxley (SOX) Compliance",-
ADN HR,Jefe Data Science,3 evaluaciones
Uber,"Operations Coordinator, Argentina",444 evaluaciones
Rappi,Director de CPGs,34 evaluaciones
JP Morgan Chase,Applications Support Manager,19.840 evaluaciones
Rappi,Project Manager CPGs,34 evaluaciones
Jampp,Business Intelligence Analyst,-
Grandata,Quality Assurance Tester,-
Uber,"Existing Partnerships Manager, Uber Eats - Uruguay (Based in Buenos Aires)",444 evaluaciones
OLX Group,Business Analyst,-
RecargaPay,Finance & Investor Relations Analyst,-
Telecom Argentina,Analytics,42 evaluaciones
Rappi,Project Manager Content,34 evaluaciones
Microsoft,Solution Specialist,4.459 evaluaciones
amdocs,DWH/BI Architect @ Buenos Aires,817 evaluaciones
Google,Customer Solutions Engineer,2.378 evaluaciones
MuleSoft,UX Designer,14 evaluaciones
McKinsey & Company,"Consultant - Advanced Analytics, Operations",360 evaluaciones
Uber,"Marketing Manager, Uber Eats - Uruguay (Based in Buenos Aires)",444 evaluaciones
Altoros,Full Stack Javascript Developer,-
JP Morgan Chase,CORP- LATAM Compliance Testing – Senior Associate,19.840 evaluaciones
amdocs,Functional Test Engineer @ Buenos Aires,817 evaluaciones
Rappi,Operations Leader CPGs,34 evaluaciones
MuleSoft,UI Engineer,14 evaluaciones
Glovo,Operations Analytics Specialist,31 evaluaciones
DELL,Account Services Management,8.231 evaluaciones
Cambio Laboral IT,Analista Funcional,-
COREBI,Project Manager BI,-
Grandata,Full Stack Developer,-
JP Morgan Chase,Software Engineering - Python,19.840 evaluaciones
Bristol-Myers Squibb,Payroll Specialist – LatAm countries,1.342 evaluaciones
Grandata,Lead Quality Assurance,-
POSSIBLE,Senior Strategist,-
Bravvura,"Head of Media, Programmatic Advertising",-
JP Morgan Chase,Developer Python,19.840 evaluaciones
Grandata,Backend Developer,-
Havas Group Argentina,Business Intelligence Analyst,-
amdocs,Solutions Sales Expert @ CABA,817 evaluaciones
MuleSoft,Full Stack Software Engineer,14 evaluaciones
Grandata,Blockchain Developer,-
Staff RH,Developer .NET,-
OLX Group,Full Stack Javascript Engineer,-
MuleSoft,Software Engineer,14 evaluaciones
Jampp,Junior Software Engineer,-
JP Morgan Chase,Software Engineering - Python Developer,19.840 evaluaciones
