company,job,number_of_evaluations
Zurich Insurance Group,Big Data Solution Designer,101 valoraciones
Roche,Head of Big Data,1.540 valoraciones
Zurich Insurance Group,Junior BI Support Specialist (Big Data),101 valoraciones
King.com,Senior Data Engineer,-
Glovo,Data Scientist,33 valoraciones
Innofis,Data Scientist,-
Smadex,DATA SCIENTIST,-
eDreams ODIGEO,Data Scientist,10 valoraciones
Oracle,ACS PRINCIPAL SERVICE ENGINEER (Platform Database Big Data),3.952 valoraciones
SII Concatel,Programador BI,9 valoraciones
Zurich Insurance Group,BIG DATA DEVELOPER,101 valoraciones
TechData,Junior Data Science Specialist,532 valoraciones
Bapartners,CONSULTOR ANALYTICS / BIG DATA,-
Smadex,Machine learning ENGINEER,-
ReflexCash,Data Analyst - Digital Media,-
GSN Games,Data Engineering Manager,-
InnerWorkings,Business Intelligence Developer,50 valoraciones
eDreams ODIGEO,Data Science Manager,10 valoraciones
GSN Games,Senior Data Analyst,-
managementsolutions,CONSULTOR DATA SCIENCE BARCELONA,35 valoraciones
Blueliv,Cyber Intelligence Analyst,-
GFT Technologies,Machine Learning Engineer,-
Diezpuntocero,Arquitecto Big Data,-
Clariba Consulting SLU,Business Intelligence Intern en Barcelona,-
Vistaprint,Agile Software Delivery Lead,88 valoraciones
Nestlé Global Services Sp,Internship – Nestlé Purina EMENA: Data Analyst Intern,-
Deloitte,Consultor/a Junior - Deloitte Digital Barcelona,6.693 valoraciones
ES Field Delivery,Programador Junior Business Intelligence en Barcelona,-
GRUP ORGANIGRAMA,"Data Engineer - For a technology-based, dynamic an",-
Zurich Insurance Group,Operational Excellence Consultant,101 valoraciones
eDreams ODIGEO,Competition Insights Team Leader,10 valoraciones
Between Technology,Software Color Specialist,6 valoraciones
Magento,Software Engineer,-
StreamSets Inc.,Software Engineer (Barcelona),-
Jellyfish UK,Analytics Manager,-
Magento,Distributed Systems Engineer,-
Skyscanner,Principal Engineer,-
King.com,Google Cloud Migration Engineer (Six Month Contract),-
STD Multiopción,Teleoperador atención al cliente sector Retail (Temporal - rebajas),2 valoraciones
TransPerfect,Project Assistant,143 valoraciones
Media Markt ES,Playlist Editor,691 valoraciones
Media Markt ES,Platform Operations Manager,691 valoraciones
Merkle S.L.,QA Graduate,-
Glovo,Supply Data Associate,33 valoraciones
Novartis,"Barcelona Global BPA Team, Advanced Analytics Lead",2.601 valoraciones
eDreams ODIGEO,Competition Insights Specialist,10 valoraciones
DIGITAL TALENT AGENCY,IT Recruiter (Industry),-
Media Markt ES,Channel Manager,691 valoraciones
Media Markt ES,Campagne Manager/Marketeer,691 valoraciones
Jellyfish UK,Strategic Analytics Director,-
Micro Focus,Software Designer,134 valoraciones
IQVIA,"Analyst, Enriched Studies",95 valoraciones
QuintilesIMS,"Analyst, Enriched Studies",1.015 valoraciones
Churchill Frank,Big Data Consultant,-
Media Markt ES,Online marketeer,691 valoraciones
Media Markt ES,Online Content Editor,691 valoraciones
Onna,QA Engineer,-
Schibsted Media Group,DevOps Engineer,-
Zurich Insurance Group,Solution Architect MS SQL,101 valoraciones
Grupo CHOICE,Vacante Help Desk,-
Skyscanner,Engineering Manager,-
Desigual,Paid Social Media Strategist,309 valoraciones
Antal International,Risk Data analyst,-
Allianz Technology SE,DevOps Engineer (m/f) Customer Enablement Squad – for newly founded technology hub in Barcelona,457 valoraciones
AREX,VP of Engineering,4 valoraciones
IGO,Digital Analyst,-
Regus,Project Manager: Digital & Online Apps,607 valoraciones
Telefonica,TALENT HUNTERS: Release Engineer,597 valoraciones
Catenon,BIG DATA PLATFORM ENGINEER,-
Harnham,BIG DATA ENGINEER,-
Polyglot Group,Big Data Engineer,-
DIGITAL TALENT AGENCY,Administrador/a de Sistemas Big Data,-
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL BARCELONA,35 valoraciones
Accenture,"BIG DATA Architects, analysts & developers- Barcelona",13.886 valoraciones
Zurich Insurance Group,Business Analyst for Investment Reporting Solutions,101 valoraciones
Regus,Lead: Solutions Architect,607 valoraciones
Aspire,Data Engineer,-
Iwantic,Data Engineer,-
IQVIA,"Consultant, Enriched Studies",95 valoraciones
Media Markt ES,Digital Designer,691 valoraciones
Atos,ES - MEV - BCN/MDR - BECA Solution Assistant,1.626 valoraciones
CMP Group,Product Owner Acquisition,-
Grupo Nortempo,Programador Data Scientist,4 valoraciones
"T-Systems ITC Iberia, S.A.",Digitalization Consultant (f/m),2 valoraciones
Agfa-Gevaert NV,Local ICS Manager,-
iBus Media,SEO Manager,-
Criteo,Ad Operations Trafficker - EMEA Tier 1,-
TravelCLICK,Digital Media Campaign Manager (Fluent Italian),-
DXC,Analytics Business Developer,1.377 valoraciones
Smadex,Junior Frontend Developer,-
Criteo,Technical Solutions Engineer Mid-Market EMEA,-
Schibsted Media Group,Security Engineer,-
eDreams ODIGEO,Payments Internship,10 valoraciones
Zurich Insurance Group,Test Manager,101 valoraciones
C14TORCE,Content Manager,-
Glovo,Internship in Business Development and Marketing,33 valoraciones
Criteo,"Creative designer, Russian Speaker",-
Grupo CHOICE,Analista de Desarrollo en Aplicaciones Informáticas,-
Skyscanner,Product Manager,-
Regus,IT Research Analyst,607 valoraciones
-,Consultoría de empresas,-
Criteo,"Head of Strategic Project Delivery (Hubble), MidMarket",-
Quipu,Product Designer,-
Regus,Lead – Business Analyst,607 valoraciones
Spring Professional,BI Oracle Consultant,2 valoraciones
Criteo,Marketing Manager,-
Vistaprint,Lead Security Engineer,88 valoraciones
Media Markt ES,Full-Stack Developer,691 valoraciones
Dow Jones,Technical Analyst,163 valoraciones
TravelCLICK,GDS Media Campaign Manager LATAM,-
Robert Walters,Dirección de Administración - Experiencia en ecommerce,46 valoraciones
