company,job,number_of_evaluations
SAP,Commercial Sales Executive Data & Database Management + Analytics & Insights (Dutch),1.598 valoraciones
Mitek Systems,Research Grant Specialist,-
managementsolutions,CONSULTOR DATA SCIENCE BARCELONA,35 valoraciones
Zurich Insurance Group,BIG DATA DEVELOPER,101 valoraciones
eDreams ODIGEO,Data Scientist,10 valoraciones
Scopely,Software Engineer - Barcelona,-
TransPerfect,Artificial Intelligence Software Engineer,143 valoraciones
CA Technologies,Research Engineer,699 valoraciones
Leitat - Centro Tecnológico,RESEARCHER INTELIGENCIA ARTIFICIAL Y MACHINE LEARNING,-
Mitek Systems,Javascript Developer,-
Vall d'Hebron Institut de Recerca,Bionformatics Technician - UEB,5 valoraciones
GFT Technologies,Expert AI & Data Science,-
GFT Technologies,Expert IA & Data Science,-
Kernel Analytics,Data Scientist (Barcelona),-
TransPerfect,Machine Translation Developer,143 valoraciones
ALSTOM,Image Processing Engineer,1.923 valoraciones
Skyscanner,Principal Engineer,-
Go Find It,Backend Engineer,-
360 talento,Data Scientist,-
360 Talent,Data Scientist,-
Iwantic,Data Scientist,-
GRUP ORGANIGRAMA,Computer Vision Engineer - For a technology-based,-
eDreams ODIGEO,Data Analyst,10 valoraciones
eDreams ODIGEO,Data Science Manager,10 valoraciones
Go Find It,Customer Success,-
Go Find It,Junior Designer Intern,-
Micro Focus,Software Designer,134 valoraciones
Ocado,"Data Scientist, OSP - Barcelona",-
Antal International Spain,Analista Riesgo Crediticio. Risk Data Analyst,-
Grupo Nortempo,Programador Data Scientist,4 valoraciones
Go Find It,Office Happiness Manager,-
Ocado Technology,Frontend Engineer,-
GRUP ORGANIGRAMA,"Data Engineer - For a technology-based, dynamic an",-
Ocado Technology,Site Reliability Engineer - OSP,-
Signaturit,Legal Intern,-
Sanofi,Senior Data Scientist,2.687 valoraciones
DANONE,Regional Marketing & Channel Marketing Manager EVIAN,887 valoraciones
Skyscanner,Engineering Manager,-
Mitek Systems,Jr. Systems Administrator,-
Antal International,Risk Data analyst,-
Innofis,Big Data Architect,-
Diezpuntocero,Arquitecto Big Data,-
Aspire Data Recruitment,Data Science Manager,-
Ocado Technology,"Product Analyst, Mobile Team - Ocean",-
Smadex,Performance Account Manager,-
Talentier,"backend developer PHP, Barcelona",-
Vistaprint,Marketing Technology Manager,88 valoraciones
Vistaprint,Marketing Technology Manager,88 valoraciones
Edreams,Business Analyst – Insights Generation,-
Grupo Nortempo,Consultor Bussiness Intelligence,4 valoraciones
Skyscanner,Senior Mobile Engineers,-
Ocado,"Product Analyst, Mobile Team - Barcelona",-
Novartis,"Barcelona Global BPA Team, Advanced Analytics Lead",2.601 valoraciones
Ocado Technology,"Java Software Engineer - Communication Systems, OSP",-
Ocado,"Java Software Engineer, Conversational Engine Team - Barcelona",-
Ocado Technology,"Java Software Engineer - Fraud Detection Team, OSP",-
Ocado Technology,Java Software Engineer - Pharos Team,-
Ocado Technology,Java Software Engineer - OSP,-
Ocado Technology,"Java Software Engineer, Conversational Engine Team - Ocean",-
Antal International,Analista de riesgo crediticio E-Commerce,-
Ocado Technology,"Java Software Engineer - Customer Systems Team, OSP",-
Quipu,Product Designer,-
Quipu,Fullstack Developer,-
AdRapid,Ruby on Rails developer,-
NoviCap,Señor developer,-
Accenture,Analytics Experts for Innovation Lab,13.886 valoraciones
eDreams ODIGEO,Air Content Business Analyst,10 valoraciones
Accenture,Supply Chain & Operations Analytics Experts,13.886 valoraciones
Skyscanner,Senior Distributed Systems Engineers,-
Aspire Data Recruitment,Senior Data Scientist,-
Harnham,SENIOR DATA SCIENTIST,-
Micro Focus,Digital Sales Representative for NESA/UK Market,134 valoraciones
ZeptoLab,Senior Product Analyst,-
"T-Systems ITC Iberia, S.A.",Digitalization Architect (f/m),2 valoraciones
Centro de Visión por Computador,C++ Programmer for CARLA: AI + Videogames + Autonomous Cars.,-
SAP,Commercial Sales Manager (Native French),1.598 valoraciones
Accenture,Experts in Artificial Intelligence (AI) Solutions,13.886 valoraciones
Fluttr,Senior UX Designer,-
Aspire Data Recruitment,Lead Data Scientist,-
Inbenta,Senior Backend Engineer for NLU,-
CA Technologies,Senior Full Stack Developer - Barcelona area,699 valoraciones
GFT,UX Senior Designer,13 valoraciones
Micro Focus,Digital Sales Represetantive with German,134 valoraciones
Page Personnel España,Head of Software Development (h/m),111 valoraciones
Micro Focus,Digital Sales Representative with German,134 valoraciones
SAP,SAP ERP Cloud - Supply Chain Management - Presales Consultant (Native Italian),1.598 valoraciones
"Vintra, Inc.",Machine Learning Engineer,-
Rocketroi,Data Scientist,-
Zeelo,Data Engineer (Python),-
Eurecat Centro Tecnológico de Cataluña,INVESTIGADOR CIBERSEGURIDAD,-
Raona,Data scientist,-
Red Points,Machine Learning Specialist,-
Melza Consulting,Data Engineer,-
Sdad Iwantic S.L.,Data Scientist,-
Melza Consulting,Software Engineer + Big Data,-
Jobandtalent Careers,Data Analyst Engineer - Data Science,-
Barcelona Supercomputing Center (BSC),Established Researcher (R3),-
Digital Origin,Senior Data Scientist,-
Barcelona Supercomputing Center (BSC),Machine Learning Technician (RE2),-
Brandcrumb,Data Scientist with NLP/IR experience,-
Satellogic,Data Scientist Intern,-
Jobandtalent Careers,Business Intelligence Analyst - Data Science,-
"Vintra, Inc.",Research Scientist,-
AdQualis Executive Search,Arquitecto Business Intelligence y Analytics - AQES-B9931,-
Fervimax,Consultor Business Intelligence - Barcelona,-
Insikt Intelligence,NLP / Machine Learning (Junior),-
Barcelona Supercomputing Center (BSC),Software Developer - BioInformatics,-
Ocre,Python Software Engineer Jr.,-
"Vintra, Inc.",Distributed Systems Engineer,-
Ocre,Python Software Engineer,-
Digital Origin,Senior Data Scientist / Risk Expert,-
Ocre,FrontEnd Dashboard Engineer,-
Ocre,FrontEnd Plugins Engineer,-
Insikt Intelligence,Business Development and Sales Manager,-
Satellogic,Data Platform Developer,-
Walters People,Frontend,-
InMotion Ventures,Backend Team Lead (PHP) - Zeelo,-
Centre de Visio per Computador,Software Engineer for CARLA: AI + Videogames + Autonomous Cars,-
Caravelo,Finnish Chatbot Trainer,-
"Vintra, Inc.",Full Stack Engineer,-
letgo,Data Scientist Intern - Search and Relevance,-
Abouit,CTO & Senior Developer,-
Itnig,Fullstack Developer at Quipu,-
Unique Telecomunicaciones,Programador de proyecto,-
Midokura,Software Engineer - MidoNet Edge Cloud Platform,-
Carnovo,Data Engineer / Business intelligence,-
B4Finance,Full stack/Backend Developer,-
Zeelo,Backend Team Lead (PHP),-
Artificial Solutions,FullStack Developer,-
Red Points,Product Owner,-
Itnig,Product Designer at Quipu,-
Spring Professional,Data Analyst Terrassa,2 valoraciones
