company,job,number_of_evaluations
Amazon.com,Software Developer - Alexa Data Services,"24,699 reviews"
Asics Digital,Data Science Intern,-
MassMutual,Big Data Engineer,760 reviews
"PowerAdvocate, Inc",Big Data Analyst - Developer,6 reviews
Neurable,Data Scientist,-
Amazon.com,Data Engineer (Alexa Machine Learning),"24,699 reviews"
Wayfair,Hadoop Big Data Engineer,321 reviews
Amazon.com,"Manager, Data Science","24,699 reviews"
Massachusetts General Hospital(MGH),Data Analyst I - Home Base Program,787 reviews
Massachusetts General Hospital(MGH),Data Analyst I,787 reviews
Wayfair,"Head of Big Data Operations, Competitive Intelligence",321 reviews
UnitedHealth Group,Consultant / Data Research Analyst,"11,741 reviews"
Boston Public Schools,Data Analyst,172 reviews
Wipro LTD,Solution Architect Big Data,"10,978 reviews"
Havas Media,Junior Data Management Developer,148 reviews
Massachusetts Eye and Ear Infirmary,Data Scientist,141 reviews
Massachusetts General Hospital(MGH),Data Warehouse Analyst,787 reviews
Verizon,Big Data Strategist,"19,301 reviews"
ClimaCell,Atmospheric Data Scientist / Meteorologist,-
Amazon.com,Solutions Architect,"24,699 reviews"
Wayfair,Data Engineer,321 reviews
Amazon.com,Data Engineer - Alexa Applied Modeling & Data Science,"24,699 reviews"
EPAM Systems,Big Data Solution Architect,123 reviews
Microsoft,Data Scientist II,"4,485 reviews"
Sapient Global Markets,Big Data Architect,39 reviews
UnitedHealth Group,Technical Business Data Analyst,"11,741 reviews"
Harvard University,Research and Data Analyst,558 reviews
Amazon.com,"Program Manager, Capacity Planning","24,699 reviews"
Berenson-Allen Center,Neurophysiologic Signals/Data Analyst,-
Accenture,Big Data Architect,"13,886 reviews"
Google,Big Data and Analytics Cloud Consultant,"2,391 reviews"
"Agero, Inc.",Big Data Architect,371 reviews
Massachusetts General Hospital(MGH),Senior Health Data Analyst,787 reviews
Microsoft,Data & Applied Scientist 2,"4,485 reviews"
Boston Medical Center (BMC),Data Analyst-GIM-FT 40 hours,-
Amazon.com,Solutions Architect - AWS,"24,699 reviews"
Wayfair,Data Operations Analyst,321 reviews
UnitedHealth Group,Oracle Operational DBA,"11,741 reviews"
Fidelity Investments,"Vice President, Machine Learning and Big Data","2,836 reviews"
Odyssey Systems Consulting Group,Big Data Software Programmer,8 reviews
Takeda Pharmaceutical,Big Data Platforms Manager,520 reviews
Massachusetts General Hospital(MGH),"Data Analyst, Senior",787 reviews
"Agero, Inc.",Associate Data Scientist,371 reviews
Booz Allen Hamilton,Simulation Data Analyst,"1,599 reviews"
Pluralsight,Data Scientist,8 reviews
Wayfair,"Data Scientist, Algorithms",321 reviews
Wayfair,Data Platform Developer,321 reviews
JP Morgan Chase,"Asset Pricing Analyst, Reference Data Operations","19,910 reviews"
Bose,Big Data Engineer,513 reviews
Pearson,Data Analyst/ Data Steward,"1,563 reviews"
Rifiniti,Data Science Intern,-
UnitedHealth Group,Healthcare Data Analyst / Consultant,"11,741 reviews"
DigitasLBi,"Manager, Data and Analysis",149 reviews
Commonwealth of Massachusetts,COMMBUYS Data Analyst,331 reviews
Forrester,"Data Analyst, CX Index",28 reviews
CIEE,Data Analyst,427 reviews
Northeastern University,Data Analyst,353 reviews
Lovepop,Data Scientist,2 reviews
Manulife,Data Engineer,182 reviews
Sage Therapeutics,Data Mining and Research Specialist,2 reviews
UnitedHealth Group,Senior Data Analyst,"11,741 reviews"
Amazon.com,Database Solutions Architect,"24,699 reviews"
Transdev,Software and Database Specialist,903 reviews
Asimov,Biological Data Scientist,-
Criteo,Data Analyst,21 reviews
UnitedHealth Group,Lead Data Scientist,"11,741 reviews"
Massachusetts General Hospital(MGH),Clinical Research Coordinator - data analysis and programming skills preferred,787 reviews
Commonwealth of Massachusetts,eDiscovery Data Analyst,331 reviews
Takeda Pharmaceutical,Data Librarian/Lead Data Librarian,520 reviews
Dana-Farber Cancer Institute,Data Scientist I,243 reviews
UnitedHealth Group,Director - Data Science,"11,741 reviews"
Amazon.com,"Program Manager in PMO, Applied Modeling & Data Science Analytics (Alexa)","24,699 reviews"
Affect Mental Health,Growth Efforts - Data Analyst,-
Aspect Software Inc,Big Data Engineer,79 reviews
Akili Interactive,Data Scientist,-
Analysis Group,Data Scientist,9 reviews
PwC,Hadoop Big Data Solution Architect,"5,523 reviews"
ENGIE Insight,Associate Data Scientist,665 reviews
Pearson,"Data Analyst, Global Product Analytics","1,563 reviews"
Atrius Health,Data Analyst II - Research - Kenmore,280 reviews
Huawei,Principal Researcher - AI/Big Data,"2,416 reviews"
Berkshire Hathaway Specialty Insurance,Reporting Data Analyst,4 reviews
Gartner,"Data Center Storage Expert, Flexible NA Location, Gartner Research",268 reviews
S&P Global,Data Scientist,590 reviews
EPMA,BIG DATA ARCHITECT,5 reviews
Novartis,Oncology Data Scientist,"2,601 reviews"
CoreLogic,"Professional, Data Analysis",579 reviews
UnitedHealth Group,Epidemiology Research Analyst,"11,741 reviews"
MassMutual,Data Scientist,760 reviews
Amazon.com,"Manager, Machine Learning Data Science - Alexa","24,699 reviews"
Boston University,"RESEARCH DATA ANALYST, School of Public Health, Health Policy & Mgmt",294 reviews
Facebook,"Data Scientist, Infrastructure",344 reviews
OSRAM SYLVANIA,Data Scientist,282 reviews
Cogito Corporation,Data Scientist,-
Wayfair,Technical Data Analyst,321 reviews
Amazon.com,Web Development Engineer,"24,699 reviews"
Bose,Cloud Data Engineer,513 reviews
University of Massachusetts Medical School,Healthcare Claims Data Analyst II,718 reviews
MFS Investment Management,Data Scientist,78 reviews
Tufts Medical Center,MPI Data Integrity Analyst,259 reviews
Commonwealth of Massachusetts,Data Analytics Fraud Examiner,331 reviews
ViaSat,Data Scientist,161 reviews
"GfK, Boutique Research",Research Associate,-
Commonwealth of Massachusetts,Data Analyst – Division of Quality Improvement,331 reviews
ENGIE,Data Scientist,665 reviews
Natixis Global Asset Management,Data Scientist,270 reviews
State Street,Cloud Data Analyst - Boston,"1,855 reviews"
University of Massachusetts Medical School,Healthcare Data Analyst II,718 reviews
OneBeacon Insurance Group,Entry Level IT Data Analyst,35 reviews
State Street,Business/Data Analyst,"1,855 reviews"
Wayfair,Data Scientist PhD,321 reviews
Bracebridge Capital,Structured Products Data Analyst,-
UnitedHealth Group,Sr. Healthcare Data Analyst,"11,741 reviews"
Staples,Data Scientist,"8,808 reviews"
S&P GLOBAL MARKET INTELLIGENCE,Quantitative Analyst/Data Scientist,590 reviews
Massachusetts General Hospital(MGH),DATA ANALYST- Computational Biology,787 reviews
ClimaCell,Data Scientist / Engineer,-
Celect,Data Scientist,-
L3 Technologies,Big Data Software Developer,"2,845 reviews"
