company,job,number_of_evaluations
Microsoft,Data Scientist II,"4,485 reviews"
Massachusetts Eye and Ear Infirmary,Data Scientist,141 reviews
Veeam Software,Data Science Analyst,42 reviews
Amazon.com,Data Engineer - Alexa Data Services,"24,699 reviews"
Bose,Data Steward,513 reviews
Boston University,"DATA MANAGER, SUSTAINABILITY, Facilities Management & Planning, Sustainability",294 reviews
Amazon.com,Data Engineer (Alexa Machine Learning),"24,699 reviews"
Boston Public Schools,Data Analyst,172 reviews
Amazon.com,Data Collection Program Manager,"24,699 reviews"
Amazon.com,"Program Manager in PMO, Applied Modeling & Data Science Analytics (Alexa)","24,699 reviews"
Harvard University,Research and Data Analyst,558 reviews
iRobot Corporation,"Data Science Intern, July - December 2018",19 reviews
Massachusetts General Hospital(MGH),Data Analyst I,787 reviews
Havas Media,Junior Data Management Developer,148 reviews
Asimov,Biological Data Scientist,-
Sapient Global Markets,Data Science Specialist,39 reviews
Amazon.com,Big Data Consultant,"24,699 reviews"
AstraZeneca,"Data Sciences & AI Graduate Programme - UK, US & Sweden","1,386 reviews"
Amazon.com,Research Scientist,"24,699 reviews"
McKinsey & Company,Data Science Intern - QuantumBlack,361 reviews
UnitedHealth Group,Director - Data Science,"11,741 reviews"
"Agero, Inc.",Associate Data Scientist,371 reviews
Amazon.com,Software Developer - Alexa Data Services,"24,699 reviews"
Berenson-Allen Center,Neurophysiologic Signals/Data Analyst,-
Massachusetts General Hospital(MGH),Data Analyst I - Home Base Program,787 reviews
Amazon.com,"Business Analyst, Alexa Data Services","24,699 reviews"
Booz Allen Hamilton,Simulation Data Analyst,"1,599 reviews"
"Anthem, Inc.",Research Data Manager-PS8214,"3,090 reviews"
Massachusetts General Hospital(MGH),Data Warehouse Analyst,787 reviews
TiVo,"Staff Data Analyst, Data Science",57 reviews
OSRAM SYLVANIA,Data Scientist,282 reviews
Microsoft,Data & Applied Scientist 2,"4,485 reviews"
Wayfair,"Data Scientist, Algorithms",321 reviews
Lovepop,Data Scientist,2 reviews
Amazon.com,"Manager, Machine Learning Research Science - Alexa","24,699 reviews"
Pearson,Data Analyst/ Data Steward,"1,563 reviews"
Amazon.com,"Business Analyst Manager, Alexa Data Services","24,699 reviews"
Amazon.com,"Business Analyst, Operations/Talent Acquisition, Alexa Data Services","24,699 reviews"
Pluralsight,Data Scientist,8 reviews
Amazon.com,Software Development Engineer - Alexa Applied Modeling & Data Science,"24,699 reviews"
Novartis,Oncology Data Scientist,"2,601 reviews"
Amazon.com,"Research Scientist, Alexa - Kendall Square/Cambridge, MA","24,699 reviews"
Dana-Farber Cancer Institute,Data Scientist I,243 reviews
Akili Interactive,Data Scientist,-
Bose,Lead Data Steward,513 reviews
Amazon.com,Research Scientist- Alexa ML,"24,699 reviews"
Amazon.com,Machine Learning Scientist,"24,699 reviews"
Analysis Group,Data Scientist,9 reviews
Amazon.com,"Manager, Principal ML Data Science","24,699 reviews"
MIT,Applications and Data Coordinator,242 reviews
MassMutual,Data Science Project Manager,760 reviews
MassMutual,Data Scientist,760 reviews
Knowledgent Group Inc.,Data Modelers,-
Wayfair,Data Engineer,321 reviews
ENGIE Insight,Associate Data Scientist,665 reviews
Cogito Corporation,Data Scientist,-
Criteo,Data Analyst,21 reviews
Commonwealth of Massachusetts,Data Analyst – Division of Quality Improvement,331 reviews
MFS Investment Management,Data Scientist,78 reviews
Amazon.com,"Research Scientist - Amazon Web Services - Boston, MA","24,699 reviews"
ViaSat,Data Scientist,161 reviews
