company,job,number_of_evaluations
AMARO,Data Engineer Specialist,9 avaliações
BAIN & COMPANY,Senior Advanced Analytics Specialist,96 avaliações
Swiss Re,Business Analysis and Reporting Specialist,-
GeekHunter,Data Engineer,-
GeekHunter,Cientista de dados - Pesquisa Operacional,-
The Dow Chemical Company,Business Supply Chain Planner,1.143 avaliações
GeekHunter,Desenvolvedor Backend Java e/ou Python,-
Uber,Marketing Data Analyst,480 avaliações
Shire Pharmaceuticals,Medical Scientific Liaison,439 avaliações
GeekHunter,Coordenador de Desenvolvimento Mobile,-
DocuSign,Technology Consultant,28 avaliações
Colgate-Palmolive,Jr Financial Planning Analyst,1.506 avaliações
McKinsey & Company,"Research Analyst - High Tech, Media and Telecom",361 avaliações
99 TAXIS,Back-End Developer SÃO PAULOTECNOLOGIAFULL-TIME,8 avaliações
amdocs,"Business Analyst (DWH, BSS/OSS) @ São Paulo",821 avaliações
PepsiCo,Research And Development Analyst,9.709 avaliações
amdocs,HadoopTechnology Engineer @ São Carlos,821 avaliações
Viki,Data Engineer,-
CAPCO,Business Analyst Lead,-
Conquest One,Business Analyst Lead - Financial Products,4 avaliações
CAPCO,Business Analyst,-
Facebook,Business Analyst,344 avaliações
FICO,Analytic Scientist II,-
MasterCard,"Commercial Products, Large Market Intern-1",360 avaliações
GeekHunter,Desenvolvedor front-end/mobile (híbrido) sênior,-
PRA Health,In-house CRA 2,235 avaliações
Bristol-Myers Squibb,MSL IO - Diagnóstico,1.348 avaliações
Microsoft,Subsidiary BG Leader,4.486 avaliações
IQVIA,Regulatory & Start,95 avaliações
dunnhumby,Copywriter BzzAgent,-
GeekHunter,Software Engineer (Data Engineer),-
McKinsey & Company,Senior Data Scientist - Advanced Analytics,361 avaliações
Cisco,Associate Systems Engineer (Full Time) - Brazil,3.891 avaliações
Medtronic,Sr Medical Education Specialist - Neurovascular,2.462 avaliações
UBS,IT Business Analyst / Developer,1.540 avaliações
Google,"Platforms Specialist (Solutions Consultant), Google Technical Services",2.392 avaliações
Siemens AG,SR Business Development Engineer (Meat Segment),5.974 avaliações
amdocs,"Business Analyst (DWH, BSS/OSS) @ São Carlos (Position also available for People with Disabilities)",821 avaliações
Google,Customer Solutions Engineer,2.392 avaliações
DXC,Technology Consultant,1.377 avaliações
AMARO,Back-End Developer,9 avaliações
Willis Towers Watson,IT Specialist,693 avaliações
McKinsey & Company,Senior Data Engineer - QuantumBlack,361 avaliações
CAPCO,DevOps Specialist – MS .NET Platform,-
