company,job,number_of_evaluations
Loggi,Data Scientist,2 avaliações
Biggy,Estagiário(a) em Desenvolvimento Big Data - Back-End | Júnior,-
99 TAXIS,Senior Data Scientist SÃO PAULOOPERAÇÕESFULL-TIME,8 avaliações
BASF S.A.,Analista de Risco e Crédito Sênior,1.928 avaliações
GeekHunter,Cientista de dados - Pesquisa Operacional,-
FICO,Analytic Scientist II,-
Avanade,"Manager, Data Engineering (SP)",185 avaliações
Verbio Technologies S.L.,"Administrativo/a - Contable (Sao Paulo, Brasil)",-
Propz,CIENTISTA DE DADOS,-
Conquest One,Cientista de Dados,4 avaliações
-,Data Scientist,-
PETLOVE,Data Scientist Senior (Python),-
Mazzatech,Gerente de Produto,-
GeekHunter,Cientista de dados – Inteligência Artificial,-
Microsoft,Sr Software Engineer,4.486 avaliações
-,Especialista,-
Microsoft,Software Engineer,4.486 avaliações
99 TAXIS,Software Engineer SÃO PAULOCSI,8 avaliações
L'Oréal,COORDENADOR DE TRANSFORMAÇÃO DIGITAL,2.411 avaliações
-,Analista de Dados,-
EY,Data Analytics - Estatístico,5.232 avaliações
-,Gerente de Produtos,-
Goldman Sachs,Engineering - FICC Technology - Latam Developer - Analyst - Sao Paulo,1.116 avaliações
BAIN & COMPANY,Senior Advanced Analytics Specialist,96 avaliações
-,Desenvolvedor Full Stack,-
Accenture,Consultor de Data Science,13.886 avaliações
FICO,Lead Analytic Scientist,-
JP Morgan Chase,CIB - Software Engineering - Associate - São Paulo,19.910 avaliações
IQVIA,Consultant,95 avaliações
Microsoft,Consultant,4.486 avaliações
Accenture,Programa de Férias ou Estágio - Analytics,13.886 avaliações
Page Personnel,Analista de Arquitetura TI Sr,111 avaliações
-,Data Scientist Senior,-
SAP,DBS Services Delivery - Analytics & Insight Services Practice Unit Lead LAC,1.598 avaliações
EY,Consultor Sênior - Advanced Analytics,5.232 avaliações
-,Analista Programador,-
EY,Gerente de Advanced Analytics,5.232 avaliações
-,Engenheiro,-
Mollica RH,Cientista de Dados Pleno,-
99 TAXIS,Senior Backend Developer SÃO PAULOSAFETYFULL-TIME,8 avaliações
Atma IT Solutions,Estagiário(a) em Desenvolvimento Web,-
Goldman Sachs,Finance & Risk Engineering - Software Engineer,1.116 avaliações
Mazzatech,Desenvolvedor FullStack,-
Goldman Sachs,Engineering - Operations Engineering - Post Trade Support Associate - Vice President - Sao Paolo,1.116 avaliações
Page Personnel,Especialista de Inovação - Projeto Outsourcing,111 avaliações
-,Desenvolvedor Back-end,-
CA Technologies,Services Architect,699 avaliações
Precifica,Desenvolvedor Python Sênior,-
Goldman Sachs,Engineering - Operations Engineering - Post Trade Support - Analyst - Sao Paulo,1.116 avaliações
Synoro Negócios Inovadores,Estagiário para área de Desenvolvimento de Mercado,-
Page Personnel,Arquiteto de Soluções ECM,111 avaliações
Mazzatech,Desenvolvedor Back End,-
GSN Tecnologia,Desenvolvedor FullStack Python - Full Stack | Pleno,-
Intent Media,"Director, Business Development",-
SAP,Analytics Account Executive for NNN Accounts,1.598 avaliações
GeekHunter,Desenvolvedor Back-end Java-2,-
HPROJEKT,Cientista de Dados Sr,5 avaliações
Connekt,Cientista de Dados Sr,-
Mollica RH,Analista de Sistemas e Soluções,-
SAP,SAP S/4HANA Cloud SCM Presales Specialist,1.598 avaliações
Mollica RH,Arquiteto de Sistemas\Soluções,-
NetCarreiras,Arquiteto de Soluções Digitais,-
Nubank,Data Scientist - Machine Learning Engineer,-
Nubank,Data Scientist,-
Nubank,Mobile Software Engineer,-
Arquivei,Front End Engineer Intern,-
Cial Dun & Bradstreet,Data Project Coordinator Jr,-
Shopback,Data Scientist,-
DataRobot,Customer Facing Data Scientist,-
Easy,Data Scientist,163 avaliações
Saffe,Machine Learning Engineer,-
LEVEE,Backend / Frontend / Full Stack Developers,-
Saffe,Backend Engineer,-
Udacity,Student Services Coordinator - Introductory Programs/Data Analysis,-
Cielo,Especialista de Data Analytics - Nível 11,103 avaliações
Saffe,Android Developer,-
GUTEN EDUCACAO E TECNOLOGIA,Desenvolvedor - PLN,-
RecargaPay,Software Architect,-
Digesto,"Engenheiro(a) de Software, Programador",-
MediaMonks,Full-stack Experiential Developer at MediaMonks SP,-
Harpio,Cientista de Dados Especialista,-
Fractal Analytics,"Senior Consultant, CPG Advanced Analytics",-
Gelato,Account Manager (Brazil),-
Cielo,Especialista de Desenvolvimento em Monitoração (AP...,103 avaliações
Udacity,Sales Manager,-
Udacity,"Enterprise Sales Director, LatAm",-
Udacity,Product Marketing Manager,-
Udacity,"Marketing Analyst, Events",-
Udacity,Product Marketing Analyst,-
Udacity,Product Marketing Intern,-
Korn Ferry International,Desenvolvedor Full Stack Senior,131 avaliações
Fantozzi & Associates,Regional Technology Manager / VP,-
fractalanalytics,"Senior Consultant, CPG Advanced Analytics",-
CCEE,Arquiteto de Soluções Sr,12 avaliações
Voxy,Software Engineer,5 avaliações
Intent Media,"Director, Business Development (LATAM)",-
Udacity,Videomaker,-
Udacity,Student Services Representative,-
Udacity,Product Designer,-
Udacity,"Student Experience Lead, Data Programs",-
