company,job,number_of_evaluations
Bosch Group,Master Data Maintenance Consultant (m/f),3.226 avaliações
Ericsson,Data Science Intern,4.902 avaliações
Bosch,Master Data Maintenance Consultant (m/f),3.226 avaliações
Farfetch,Data Science Manager,-
BNP Paribas,Risk Process And Data Analyst,2.123 avaliações
Closer,Team Lead - Data & Actuarial Sciences,-
BNP Paribas,Analytics Consulting Business Intelligence Support,2.123 avaliações
Farfetch,Lead Data Analyst,-
BNP Paribas,Global Markets - Global Client Analytics - Team Leader,2.123 avaliações
BNP Paribas,Analystics Consulting Data Architect,2.123 avaliações
BNP Paribas,Global Markets - Business Intelligence Data Analyst,2.123 avaliações
Siemens AG,Big Data – IoT/Analytics Architect (m/f),5.974 avaliações
BNP Paribas,Global Markets Quantitative Research team – Data and Artificial Intelligence Lab,2.123 avaliações
Siemens AG,Big Data Architect - IoT/Analytics for MindSphere (m/f),5.974 avaliações
Hovione,Analytical Data Reviewer,11 avaliações
BOLD International,Data Science,-
Feedzai,Project Manager (M/F),-
CompareEuropeGroup,"Business Analyst | Lisbon, Portugal",-
GroupM,Data Science Executive,-
IQVIA,Statistical Programmer,95 avaliações
Feedzai,User Researcher (M/F),-
Farfetch,Data Science Engineer,-
NOKIA,AVA Cloud Data Integration Manager,3.315 avaliações
AdQuam Human Capital,Big Data Consultant,-
BOLD International,Data Scientist Specialist,-
Xpandit,IT Recruiter,-
BNP Paribas,Global Markets - Data Engineer,2.123 avaliações
Closer,Administrative Assistant,-
BNP Paribas Personal Finance,Analytics Consulting Data Architect,-
SAP,Business Analytics (BA) Associate Consultant,1.598 avaliações
Feedzai,Product Manager (M/F),-
"Brightwizard, S.A.",Programador R e Python,-
Johnson & Johnson Family of Companies,Site Manager,3.228 avaliações
Xpandit,Engagement Manager,-
Robert Walters,Data Scientist (m/f),46 avaliações
BNP Paribas,DATA VISUALIZATON SPECIALIST,2.123 avaliações
Talkdesk,Tech Dojo,-
Siemens AG,Cyber Security Big Data Architect (m/f),5.974 avaliações
Xpandit,Junior Software Developer,-
BNP Paribas,Analytics Consulting - Data Visualisation Developer,2.123 avaliações
Talkdesk,Data Scientist Engineer,-
Truphone,BI Developer/Analyst,22 avaliações
Ericsson,Intern - Machine Learning/AI Developer,4.902 avaliações
AdQuam Human Capital,Big Data Consultant (M/F),-
"Arvato Services Portugal, Unipessoal, Lda.",Business Intelligence Analyst (M/F) - Lisbon/PT,-
Willis Towers Watson,Trainee - Talent & Rewards,693 avaliações
BNP Paribas,Global Markets - Credit Trading Desk Analyst,2.123 avaliações
Closer,Data Analyst (SAS Specialist),-
Waters Corporation,Internship in Lisboa,-
Xpandit,Big Data Engineer,-
BNP Paribas,Global Markets - Trading Assistant Trainee,2.123 avaliações
McKinsey & Company,Associate - Digital McKinsey - Technology Strategy,361 avaliações
Closer,Senior Data Scientist,-
Spring Professional Portugal,Consultor de Análise Preditiva (M/F),-
-,GP Sales Representative Leiria | Pombal | Caldas | Alcobaça Job,-
Spring Professional,Consultor de Análise Preditiva (M/F),-
Closer,Junior Actuary,-
Bosch Group,HR IT Analyst Recruitment IT-System (m/f),3.226 avaliações
Hitachi Consulting Portugal S.A.,Recruiter - Lisbon,-
Closer,Web Developer,-
Talkdesk,Senior Data Scientist,-
Hovione,Drug Product Development Scientist,11 avaliações
Synopsys,"CAD Engineer, I",-
Michael Page,Coordenador de Centro de Investigação (m/f),-
Feedzai,Technical Product Manager (M/F),-
Aubay Portugal,Recém-licenciados Data Science,-
Faculdade de Ciências da Universidade de Lisboa,"One Science and Technology Management Fellowship, for PhD holders",-
MSD,GP Sales Representative,500 avaliações
SAP,Junior ABAP on HANA Developer,1.598 avaliações
Feedzai,Data Visualization Developer (M/F),-
Noesis Portugal,Data Scientist – Lisboa (m/f),-
Hiscox Ltd,BI Tech Analyst,-
Siemens AG,Cyber Security Analyst (m/f),5.974 avaliações
Siemens AG,Business Tester (m/f),5.974 avaliações
Feedzai,Junior Scala Software Engineer (M/F),-
Feedzai,Junior Software Engineer (M/F),-
Deimos,Software Engineering Trainee,-
WIT Software,Software Quality Engineer,-
Medtronic,Head of IHS Portugal,2.462 avaliações
Kelly Services-Portugal,Big Data Architect (M/F),11.376 avaliações
Accenture,Data Scientist Consultant,13.886 avaliações
Spring Professional,Data Scientist (M/F),-
Truphone,OSS Engineer,22 avaliações
Hitachi Vantara,Software QA Engineer,-
Feedzai,Software Engineer (M/F),-
SAP,Data Management Associate Consultant (SAP EIM/SQL/ETL),1.598 avaliações
Hitachi Vantara,Intermediate Software QA Engineer,-
NOKIA,Prime Integration Technical Manager,3.315 avaliações
NOKIA,Technical Project Manager,3.315 avaliações
Siemens AG,ISEC PMO (m/f),5.974 avaliações
Siemens AG,IdM - Web Single Sign On (m/f),5.974 avaliações
Siemens AG,Node.js Full Stack Developer - MindSphere,5.974 avaliações
Hitachi Vantara,Senior SW Development Engineer,-
Closer,Senior Actuary,-
MSD,GP Sales Representative Leiria | Pombal | Caldas | Alcobaça Job,500 avaliações
NOKIA,AVA Data Integration Engineer,3.315 avaliações
Feedzai,Technical Writer (M/F),-
