company,job,number_of_evaluations
Microsoft,Big Data Support Engineer,4.486 avaliações
Feedzai,Software Engineer (M/F),-
BNP Paribas,Analytics Consulting - Data Scientist,2.123 avaliações
Microsoft,Software Engineer,4.486 avaliações
Ericsson,Data Science Intern,4.902 avaliações
Feedzai,Software Development Engineer in Test (M/F),-
Prime Engineering,Data Scientist - Big Data,-
NOKIA,Application Development Engineer,3.315 avaliações
NOKIA,Digital Innovation Proof of Concept and Prototyping Software Engineer,3.315 avaliações
Feedzai,Data Scientist (M/F),-
IBM,DevOps engineer-Infrastructure developers,21.725 avaliações
Talkdesk,Data Scientist,-
Altran,Junior Data Scientist Consultant – Lisboa (M/F),203 avaliações
Feedzai,User Researcher (M/F),-
Feedzai,Financial Controller (M/F),-
Volt Europe,Data engineer,-
Everis,Consultor Data Scientist,123 avaliações
Feedzai,Project Manager (M/F),-
SAP,User Experience (UX) trainee,1.598 avaliações
Everis,Consultor Big Data,123 avaliações
Closer,RPA Developer,-
Feedzai,Technical Writer (M/F),-
Feedzai,Product Manager (M/F),-
Closer,Data Scientist/Python,-
Feedzai,Fraud Data Analyst (M/F),-
BNP Paribas,Global Markets Quantitative Research team – Data and Artificial Intelligence Lab,2.123 avaliações
Closer,Senior Data Scientist,-
Feedzai,Visual Designer (M/F),-
McKinsey & Company,Associate - Digital McKinsey - Technology Strategy,361 avaliações
Deimos,Machine Learning Specialist,-
Psicotec,Data Engineer for football broadcasting company – (permanent) – Lisbon (M/F),-
Feedzai,Engineering Manager (M/F),-
Robert Walters,Data Engineer (m/f),46 avaliações
Feedzai,Financial Planning & Controlling Manager,-
Talkdesk,Senior Data Scientist,-
Ericsson,Intern - Machine Learning/AI Developer,4.902 avaliações
BNP Paribas,Quantitative Research Lisbon – Computer Scientist,2.123 avaliações
SAP,Business Analytics (BA) Associate Consultant,1.598 avaliações
BOLD International,Data Analyst,-
Feedzai,Technical Product Manager (M/F),-
Banco Credibom SA,Técnico de Risco de Crédito (M/F),-
zkipster,Product Manager,-
BI4ALL,Data Scientist,-
Webhelp Portugal,Enterprise - Car rental assistant - Lisbon,7 avaliações
BOLD International,Data Scientist Specialist,-
BNP Paribas,Global Markets Quantitative Research team – Computer Scientist,2.123 avaliações
Unbabel,Freelancer - Video Captioner,-
Siemens AG,Cyber Security Big Data Architect (m/f),5.974 avaliações
Qibit,Digital & Network Development Engineer (m/f),-
BNP Paribas,Global Markets Quantitative Research team – Analyst,2.123 avaliações
Feedzai,UX Designer,-
Msearch,IT TRAINEE,-
Feedzai,Data Visualization Developer (M/F),-
NOKIA,Senior NPO Engineer,3.315 avaliações
Microsoft,Support Escal Eng,4.486 avaliações
Spring Professional,Data Scientist (M/F),-
Ericsson,Java Lead Developers - Ireland,4.902 avaliações
Burns Sheehan,Senior Data Engineer,-
Feedzai,Systems Administrator (M/F),-
Xpand IT,Engenheiro de Big Data,-
Feedzai,Global Human Resources Director (M/F),-
Michael Page,Advanced Analytics Consultant - M/F,-
SAP,"Business Development Expert, SAP Leonardo team",1.598 avaliações
Xpandit,Scala / Java Developer Developer,-
INTERSECTION VENTURES,Front-end Developer,-
Feedzai,Senior Frontend Engineer (M/F),-
Feedzai,Senior Scala Software Engineer (M/F),-
204929970,IT Analyst/Project Programmer Trainee (M/F) Lisboa,-
Michael Page,Python Developer (m/f),-
Robert Walters,Machine Learning Architect (m/f),46 avaliações
204929970,Analista / Programador - Lisboa (M/F),-
Xpand IT,Scala / Java Developer,-
Landing.jobs,Java Developer,-
Feedzai,Software Architect (M/F),-
Mycujoo,Data Engineer,-
OutSystems,Data Engineer,12 avaliações
OutSystems,Data Scientist,12 avaliações
Noesis,Data Scientist/Analyst,-
SpotQA,Senior Software Engineer (Full-Stack),-
SpotQA,Senior Machine Learning Architect,-
Benhauer,Business Development Manager - remote,-
Everis,Consultor Business Intelligence,123 avaliações
WebDisplay,Junior Big Data/Operational Intelligence Consultant,-
Legartis.ai,Senior Frontend Engineer (Angular & TypeScript),-
OutSystems,Research Scientist,12 avaliações
SpotQA,Senior Front End/Full-stack Developer,-
Pipedrive,Product Designer,-
OutSystems,Data Manager,12 avaliações
Invoke Technologies,Data Analyst Developer,-
INOV INESC INOVAÇÃO,Edital para 1 Bolsa de Investigação para Mestre,-
IntellectEU,System Administrator,-
OutSystems,Data Engineering Tech Lead,12 avaliações
