company,job,number_of_evaluations
Ampers & Consulting,"Enterprise Architect (Data, Big Data Platforms, MDM)",-
Expedia,Big Data Software Engineer,591 reviews
DXC,Position: 18995144 Big Data Ninja WMA112359,"1,377 reviews"
Vodafone,Big Data Engineer,"3,271 reviews"
City University London,Research Assistant -- Data Analytics,19 reviews
Sainsburys,Tester (Data),"6,330 reviews"
BGL Group,Big Data Engineer,71 reviews
Hewlett Packard Enterprise,CTP Big Data Architect,"3,400 reviews"
Behavox,Frontend Developer (Big Data/Machine Learning),-
G-Research,Big Data Engineer (Hadoop),2 reviews
Sainsburys,Lead Big Data Developer,"6,330 reviews"
Argos,Data Engineer,"2,483 reviews"
Turner,Games Analyst - Big Pixel Studios,378 reviews
Templeton and Partners,Big Data Engineer,-
Everis,Big Data System Engineer,123 reviews
Pythian,"Big Data Principal Architect London, UK | Remote | Work From Home",7 reviews
G-Research,Big Data Engineer (Contract),2 reviews
Vodafone,Big Data Service Delivery Manager,"3,271 reviews"
Mudano,Data Analysts,-
Google,"Big Data Product Specialist, Google Cloud","2,392 reviews"
Lloyds Banking Group,Chief Big Data Engineer - Hadoop,"1,260 reviews"
Templeton and Partners,NEW PERMANENT OPPORTUNITY - Data Scientist - London,-
BPP,Academic Data Analyst,24 reviews
Vodafone,Big Data QA Engineer,"3,271 reviews"
Centrica,BI & Big Data Developer,"1,039 reviews"
DXC,Position: 18994875 Big Data Solution Architect/Ninja WMA112363,"1,377 reviews"
Eaglecliff,Big Data Engineer,-
Wipro Limited,"Presales Consultant – Big Data, AI & Machine Learning","10,978 reviews"
Vodafone,Big Data Lead,"3,271 reviews"
American Express,Home Based Customer Care Professional - UK CEN,"5,500 reviews"
Citi,Big Data Engineering Developer,"13,834 reviews"
Medopad,Data Lead,-
Burberry Limited,"Solutions Architect, Big Data",463 reviews
Hitachi Vantara,Senior Big Data Analyst,29 reviews
Cognizant,Big Data Developement Lead,"9,959 reviews"
Business,Big Data Lead Architect,-
Cognizant,Big Data Support Lead,"9,959 reviews"
Google,"Strategic Negotiator, Data Centers","2,392 reviews"
Expedia,Java / Big Data Software Engineer,591 reviews
PredictX,"Backend Engineer - Java, Big Data - London",-
BGL Group,Big Data Tech Lead,71 reviews
Expedia,Data Engineer,591 reviews
KPMG UK,Data Centre Engineer,"4,383 reviews"
DXC,Principal Offering Sales Big Data,"1,377 reviews"
Avanade,Big Data Architect,185 reviews
Just Retirement,Data Warehouse Developer,13 reviews
EPAM Systems,Big Data Architect,123 reviews
Pythian,Big Data Consultant Developer | European Union,7 reviews
BJSS,Software Engineer: Big Data,-
EE,Data Analyst,261 reviews
Sainsburys,Data Management,"6,330 reviews"
Enjoy,Data Analyst,3 reviews
total,Data Scientist - Research,865 reviews
IQVIA,Data Analytics Mgr,95 reviews
IMS Health,"Senior Engineer, Big Data, Spark/Scala","1,015 reviews"
London Borough of Barking and Dagenham,Data Scientist,32 reviews
Asos.com,Data Engineer (Advanced Analytics),223 reviews
Vodafone,Big Data Solution Manager,"3,271 reviews"
Zopa,Data Analyst,3 reviews
OC&C Strategy Consultants,Graduate Data Analyst,7 reviews
Expedia,Data Scientist,591 reviews
