company,job,number_of_evaluations
Google,Student Research Collaboration,"2,392 reviews"
Goldman Sachs,"Data Science Machine Learning Engineer/ Strategist, Securities, Analyst/Associate, London","1,116 reviews"
Gamesys,Graduate Machine Learning Analyst,13 reviews
University of London,Data Scientist/Machine Learning Graduate,15 reviews
IMS Health,"Data Scientist, Machine Learning & AI Solutions","1,015 reviews"
Google,Research Scientist,"2,392 reviews"
IMS Health,Machine Learning Engineer,"1,015 reviews"
University College London,Research Assistant/Associate,111 reviews
BBC,"Software Engineer, Android App (Connected Data - Machine Learning)",356 reviews
Ensono,Machine Learning Analyst,14 reviews
Google,"Research Scientist, Recommender Systems","2,392 reviews"
Imperial College London,Short-term Research Assistantship,108 reviews
IQVIA,"Data Scientist, Machine Learning & AI Solutions",95 reviews
Deloitte,"Consultant/Senior Consultant, Machine Learning and Artificial Intelligence, Risk Advisory, London","6,694 reviews"
Deutsche Bank,Data Scientist - Information Retrieval/Machine Learning Researcher,"2,058 reviews"
BBC,Senior Research & Development Engineer (Machine Learning),356 reviews
AIG Philippines Inc.,Machine Learning Engineer,-
Google,"Software Engineering Intern, Research, 2018","2,392 reviews"
Soma Analytics,Machine Intelligence Intern,-
Imperial College London,Research Associate,108 reviews
Microsoft,Principal Applied Machine Learning Scientist,"4,486 reviews"
Improbable,"Principal Machine Learning Scientist, Enterprise",-
AIG,Machine Learning Engineer,"2,546 reviews"
G-Research,Quantitative Researcher (Data Science/Machine Learning/Mathematical Modelling),2 reviews
AIG Philippines Inc.,Statistical Machine Learning Scientist,-
Man,Man GLG Machine Learning Quant Developer,27 reviews
Imperial College London,Research Assistant / Associate,108 reviews
Google,"Creative Writer, Brand Studio","2,392 reviews"
Teradata,Learning Consultant,129 reviews
Babylon Health,Technical Sourcer - AI and Machine Learning,-
AIG,Statistical Machine Learning Scientist,"2,546 reviews"
Imperial College London,Databox Research Associate,108 reviews
Google,Software Engineer (Part-time),"2,392 reviews"
Facebook,"Software Engineer, Machine Learning",344 reviews
AIG Philippines Inc.,Deep Learning Scientist,-
Apple,"Software Engineer - Machine Learning, Apple Media Products","5,529 reviews"
Twitter,Machine Learning Software Engineer,55 reviews
AIG,Deep Learning Scientist,"2,546 reviews"
AI-Adam,Data Scientist & Machine Learning Engineer,-
PwC,Consulting,"5,524 reviews"
Behavox,Frontend Developer (Big Data/Machine Learning),-
IQVIA,"Machine Learning Engineer, Predictive Analytics, RWAS Technology",95 reviews
Amazon.com,"EMEA Partner Segment Manager, Artificial Intelligence/Machine Learning","24,701 reviews"
Babylon Health,Research Scientist,-
Client Server,Machine Learning Researcher AI - Start-up,2 reviews
Wipro Limited,"Presales Consultant – Big Data, AI & Machine Learning","10,978 reviews"
Spotify,Research Scientist,33 reviews
BAM Construct UK,Groundsperson,9 reviews
Farfetch,Junior Data Scientist,-
Metro Bank PLC,Data Scientist,17 reviews
AIG Philippines Inc.,NLP Scientist,-
AIG,NLP Scientist,"2,546 reviews"
Royal BAM Group nv,Groundsperson,80 reviews
Natural History Museum,"Postdoctoral Researcher, Martian Meteorites",24 reviews
Investment Technology Group (ITG),Quantitative Researcher,9 reviews
NumberEight,Machine Learning Engineer Intern,-
Microsoft,ML Applied Scientist - Office Intelligence,"4,486 reviews"
University College London,Research Associate in Bioinformatics,111 reviews
G-Research,Head of Talent - Quantitative Research & Machine Learning Division,2 reviews
total,Data Scientist - Research,865 reviews
Ladbrokes Coral Group,Customer Service Manager (CSM) 25hrs & Optional Learning,"1,625 reviews"
Moogsoft,Data Science Internship (12 months),-
University College London,Postgraduate Teaching Assistants (Undergraduate Teaching),111 reviews
XR Trading LLC,Junior Quantitative Trader - London,4 reviews
Kantar TNS,Data Scientist,40 reviews
Badoo,Senior Data Scientist - Machine Learning,6 reviews
University College London,Research Associate in Bioinformatics/Computational Biology,111 reviews
IQVIA,"Product Manager, Machine Learning & AI Solutions",95 reviews
Marks & Spencer,Data Scientist,"4,315 reviews"
Sainsburys,Data Scientist,"6,330 reviews"
Farfetch,Senior Software Engineer (Machine Learning),-
Oho Group,Python - Machine Learning,-
Cogs Agency,Predictive Analyst – Machine Learning,5 reviews
Reqiva,MACHINE LEARNING RESEARCHER WEB SECURITY,-
YOOX NET-A-PORTER GROUP,Java Software Engineer (Artificial Intelligence / Machine Learning),87 reviews
Bank of America,Global Quantitative Research | Off Cycle Analyst Programme,"21,521 reviews"
IntroPro,Data Scientist,-
Medical Research Council,MRC Postdoctoral Research Scientist LMS,53 reviews
AIG Philippines Inc.,Deep Learning Engineer,-
University of London,Junior Data Scientist - Engineer,15 reviews
Expedia,Data Scientist,591 reviews
Asos.com,Data Scientist,223 reviews
Outsource UK,React Developer - Machine Learning,-
IMS Health,Senior Data Scientist & Machine Learning Manager,"1,015 reviews"
LeapYear,Data Scientist,-
Eaglecliff,Data Scientist,-
