company,job,number_of_evaluations
Cepsa,Data Scientist Junior,184 valoraciones
GFT Technologies,Expert AI & Data Science,-
GFT Technologies,Expert IA & Data Science,-
"T-Systems ITC Iberia, S.A.",Big Data & Analytics Sales Expert (f/m),2 valoraciones
GMV,Prácticas: Data Science,15 valoraciones
IBM,Senior Data Scientist,21.723 valoraciones
IBM,Application Architect-Big Data,21.723 valoraciones
Open sistemas,Internship for Data Science environments,-
Per Sé,Desarrollador BIG DATA,-
Amazon.com,Applied Scientist,24.696 valoraciones
Okuant,Data Scientist con Experiencia/ Big Data,-
HomeAway (Spain),Partner Success Analyst,-
CRANDP,Data Scientist Preventa – Big Data/ Machine Learning,-
"Solera, Inc.",Data Scientist,-
DXC,Intern Masters Technical,1.377 valoraciones
Deimos,Image Processing Engineer / Data scientist for Satellite Applications,-
Havas Media,Junior Data Management Developer,148 valoraciones
Open sistemas,Internship for Big Data environments,-
Groupe SGS France,"CORPORATE HEALTH, SAFETY & ENVIRONMENT ENGINEER WESTERN EUROPE H/F",-
DXC,ServiceNow Senior Consultant,1.377 valoraciones
DXC,ServiceNow Associate Consultant,1.377 valoraciones
Quintiles Commercial Germany GmbH,Delegado/a de Venta a Farmacias - Madrid,1.015 valoraciones
The Boston Consulting Group,Analyst – Predictive modelling & Statistics & Machine Learning,182 valoraciones
Cepsa,Data Engineer Senior,184 valoraciones
Amazon.com,Finance Internship 2018 M/F,24.696 valoraciones
Microsoft,Technology Sales Professional Data & AI,4.485 valoraciones
HomeAway (Spain),Business Analyst - Business Operations and Process Strategy,-
MathWorks,Software Maintenance Representative - Spanish,-
NOKIA,Analytics Office Global Back Office jr data scientist,3.315 valoraciones
Hitachi Consulting Global Corporation,"Project Manager - Analytics, Insights & Digital",-
ASSIA,Software Developer,-
IBM,IBM Watson Commerce Pricing Business Analyst,21.723 valoraciones
The Boston Consulting Group,Senior Analyst - Data Engineer,182 valoraciones
Canal UGR,CONSULTOR/A DATA SCIENCE,-
Cepsa,Data Scientist Senior,184 valoraciones
Amazon.com,Internship Data Analysis for Procurement (M/F),24.696 valoraciones
Harnham,DATA SCIENTIST,-
Deloitte,Recién titulados en Ingeniería o Matemáticas,6.693 valoraciones
Nielsen,Computer Vision Scientist,1.866 valoraciones
IBM,IBM WebsPhere Commerce Consultant,21.723 valoraciones
McKinsey & Company,Consultant - Analytics & Process Control,361 valoraciones
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL MADRID,35 valoraciones
Nielsen,Industry Analyst Junior,1.866 valoraciones
IQVIA,Sr Production Data Integrity Associate,95 valoraciones
Diezpuntocero,Data Science PYTHON,-
Amazon.com,Creative Project Manager (f/m),24.696 valoraciones
Deimos,Junior Operations Engineer for Big Data Systems,-
Kimia,Data Scientist Trainee - Internship,-
StubHub,"Analyst, Product Analytics",-
Alibaba,Aliexpress Technical Advisor Spain (Madrid),-
Per Sé,Desarrollador BIG DATA – Senior,-
Santander,GCB: Transaction Monitoring Analyst,1.963 valoraciones
Banco Popular Español,GCB: Transaction Monitoring Analyst,852 valoraciones
Denodo,Strategic Analyst,-
Hipoges,B1 / Reporting Analyst,-
Find a Sense,Regional Intelligence Lead,-
Deimos,Space Software Engineering trainee,-
Amazon.com,Software Development Engineer,24.696 valoraciones
Amazon.com,Senior Software Development Engineer,24.696 valoraciones
Frontiers Media SA,Senior Software Engineer,-
Avature,Senior Software Engineer,-
Microsoft,Senior Software Engineer,4.485 valoraciones
Kudelski SA,Senior Software Engineer,-
eBay Inc.,"Analyst, Product Analytics",1.395 valoraciones
Oxford University Press,Software Test Lead,196 valoraciones
Paradigma Digital,Desarrollador Big Data,-
Vodafone España S.A.U.,Discover Graduate Program Technology (España),2.455 valoraciones
Havas Media,Data Operation Specialist,148 valoraciones
Kernel Analytics,Team Lead,-
Biogen,"Medical Science Liaison, Biosimilars (Barcelona)",352 valoraciones
IQVIA,Facilities Coordinator,95 valoraciones
IQVIA,Biostatisticians,95 valoraciones
Bristol-Myers Squibb,MSM CV,1.347 valoraciones
Open sistemas,Project / Team Leader,-
Mitula Grupo,Back End Developers,-
Syneos Health Clinical,MSL Spain,469 valoraciones
Cisco,Digital Learning Intern - Spain,3.890 valoraciones
IQVIA,"Sr Prod Data Integrity Associate, German Speaker",95 valoraciones
Denodo,Enterprise Data Virtualization Consultant - Fluent German,-
Quintiles Commercial Germany GmbH,Delegado/a de visita a Enfermería - Madrid,1.015 valoraciones
Catenon,Multiplatform Data Analyst,-
Verifica,Técnico/a de Data Analytics,16 valoraciones
IBM,Cognitive Data Leader for Santander Integrated Account,21.723 valoraciones
Nielsen,Data acquisition Manager Iberia,1.866 valoraciones
CNIC,Postdoctoral Position for the Molecular Genetics of Angiogenesis Group,-
Cepheid,Product Manager Spain,-
Sionic Advisors,Business Analyst/PM - Compliance,-
QuintilesIMS,Biostatisticians - Real World Evidence Solutions - Europe,1.015 valoraciones
Microsoft,Support Eng,4.485 valoraciones
Michael Page,Director de Area Data Science / Machine Learning,156 valoraciones
Syneos Health Clinical,Project Specialist II - Gen Med - Spain,469 valoraciones
Syneos Health Clinical,Project Specialist II General Medicine - Spain,469 valoraciones
Altare Servicios Profesionales,Consultor APIs,-
Geoblink,Senior Data Analyst (Location Intelligence),-
ALK-Abelló,SIEM Specialist,-
Tesaro,Oncology Medical Affairs Project Manager Iberia - (1 year Temporary Contract),-
Airbus,Patent Attorney,1.160 valoraciones
Siemens AG,Ingeniero/a Digitalizacion Industrial y Automatización,5.974 valoraciones
Roche,Lean IT/Six Sigma Expert,1.540 valoraciones
EY,Robotics Automation Consultant (RPA) – Transaction Digital team,5.231 valoraciones
Tesaro,Oncology Scientific Advisor (MSL) Andalucia/Canarias - 6 month temporary contract,-
Tesaro,Scientific Advisor Portugal (Oncology MSL),-
Takeda Pharmaceutical,Medical Scientific Liaison (MSL) Oncology (Northern Spain),520 valoraciones
Amazon.com,Business Development Representative - Hebrew Language Speaker,24.696 valoraciones
Amazon.com,Business Development Representative - Arabic Language Speaker,24.696 valoraciones
Roche,IT Sysadmin (IaaC) - Specialist,1.540 valoraciones
Amazon.com,"Sr. SDE, Business Prime",24.696 valoraciones
IBM,IBM Watson Commerce Order Management Consultant,21.723 valoraciones
The Boston Consulting Group,Platform Specialist,182 valoraciones
NOKIA,Analytics Office Global Back Office jr consultant,3.315 valoraciones
Amazon.com,"Senior Consultant, Global DevOps",24.696 valoraciones
AbbVie,"Medical Science Liaison Gastroenteroloy Catalonia, Basque Country, Navarra, La Rioja, Aragon, Balearic and Canary Islands",570 valoraciones
Minsait,Senior Research Engineer,2 valoraciones
Accenture,Big Data Security Consultant,13.886 valoraciones
IQVIA,Talent Acquisition Specialist,95 valoraciones
dxc technology,Intern Masters Technical,1.377 valoraciones
Salesforce,Program Architect,-
Munich Re,Life Pricing Actuary,-
IQVIA,Client Services Rep 3,95 valoraciones
Amazon.com,Business Development Representative - French Language Speaker,24.696 valoraciones
Deimos,Web Front-end Software Developer,-
Johnson & Johnson Family of Companies,Customer Support Analyst (Temp),3.228 valoraciones
Bristol-Myers Squibb,REGULATORY AFFAIRS ASSOCIATED/MANAGER FOR GRS PORTUGAL,1.347 valoraciones
Teradata,Big Data Software Engineer,-
The Boston Consulting Group,IT Application Architect II,182 valoraciones
DuPont,EMEA Legal Advisor,946 valoraciones
Tuenti,Software Engineer,11 valoraciones
Denodo,Enterprise Software Engineer,-
Quintiles Commercial Germany GmbH,Costumer Service - Madrid,1.015 valoraciones
Syneos Health Clinical,"Site Payment Specialist, sponsor dedicated, office based, Madrid",469 valoraciones
The Boston Consulting Group,"Senior Analyst - Senior Analyst, Predictive modelling & Statistics & Machine Learning",182 valoraciones
Denodo,Sales Director,-
Amazon.com,Business Development Representative - German Language Speaker,24.696 valoraciones
Mercedes-AMG GmbH,MDM Senior Analyst,-
Kernel Analytics,Data Engineer (Madrid),-
Avanade,Exchange Architect,185 valoraciones
Thermo Fisher Scientific,Application Specialist,1.808 valoraciones
Syneos Health Clinical,"CRA II, Office Based, Madrid,",469 valoraciones
The Boston Consulting Group,Lead Knowledge Analyst - Technology Advantage,182 valoraciones
Amazon.com,EMEA Business Development Manager - IoT Solutions,24.696 valoraciones
Microsoft,Subsidiary Business Group Lead - Business Apps,4.485 valoraciones
Johnson & Johnson Family of Companies,Product Manager - Psiquiatría,3.228 valoraciones
McAfee,"Senior Group Mgr, EMEA Partner Product Mgmt",-
CHEP,Business Analyst BXB,442 valoraciones
IQVIA,Real World Evidence Global Portfolio Strategy Director,95 valoraciones
Google,"Strategic Cloud Engineer, BigData and Machine Learning, Google Cloud",2.391 valoraciones
S21sec,Compliance Senior Consultant - Sur de España,2 valoraciones
Cepheid,Territory Manager (North West Spain),-
Amazon.com,Vendor Flex Area Manager,24.696 valoraciones
Frontiers Media SA,Business Intelligence Developer,-
Covance,Senior CRA (home based or office based),410 valoraciones
SAP,Presales Senior EMEA South - Predictive Analytics and Machine Learning,1.598 valoraciones
GlobalWorking,Web Analyst focus tracking implementation in Düsseldorf (m/f),-
IQVIA,Medical Safety Advisor,95 valoraciones
The Boston Consulting Group,"GeoAnalytics Expert, Team Manager - GAMMA",182 valoraciones
aklamio GmbH,Internship - Online Marketing Spain,-
Amadeus,MDM Senior Analyst,153 valoraciones
StubHub,Frontend Software Engineer,-
StubHub,Software Engineer,-
TrustYou,QA Engineer,-
Electronic Arts Software S.L.,Lead Online Software Engineer,385 valoraciones
BackOffice Associates,SAP Technical Consultant – ABAP – Spain,-
RHEA Group,Software Engineer,-
VITROCISET Belgium Sprl,Software Engineer,-
Informatica,Cloud Product Specialist (S),122 valoraciones
Insud Pharma,Pharmacovigilance & Drug Safety Senior Specialist,-
SAP,Solution Advisor Senior Specialist HEC,1.598 valoraciones
Avature,Jr. Developer,-
Premier Research Group Limited,Permanent Site Start-up Associate (Spain),-
eBay Inc.,Frontend Software Engineer,1.395 valoraciones
eBay Inc.,Software Engineer,1.395 valoraciones
IQVIA,Technical Deployment Specialist CODE Spain,95 valoraciones
Mercedes-AMG GmbH,Analytics & Planning Senior Architect,-
Microsoft,Software Engineer M/F,4.485 valoraciones
HomeAway (Spain),Senior Scala Engineer,-
The Cocktail,Design Strategist,-
Avanade,Técnico de sistemas con inglés,185 valoraciones
IQVIA,Data Integratoin Engineer CODE Spain,95 valoraciones
ALSTOM,Data Engineer,1.923 valoraciones
zooplus AG,Data Integration Engineer,-
IQVIA,Data Integration Engineer,95 valoraciones
Avanade,Consultor Junior Windows,185 valoraciones
IQVIA,"Reference File Maintainer Associate, German Speaker",95 valoraciones
StubHub,Product Manager - Native Apps,-
TrustYou,Full Stack Engineer (Python/React),-
The Cocktail,Marketing Automation Strategist,-
Schneider Electric,"Project Application Engineer - Historian and Data Analytics, Predictive Maintenance - Spain",2.959 valoraciones
Open sistemas,Full Stack WordPress / PHP Developer,-
QuintilesIMS,Join us in EMEA Statistical Programmer II / Senior Statistical Programmer / Lead Statistical Programmer - Based Western Europe,1.015 valoraciones
Planet Expat,Senior Back End Developer / Tech Lead,-
IQVIA,Clinical Research Associate,95 valoraciones
Santander,GCB: Structural Data Engineer,1.963 valoraciones
Banco Popular Español,GCB: Structural Data Engineer,852 valoraciones
Ontruck,Complex Systems Engineer,-
Avanade,Containers Engineer Senior Consultant,185 valoraciones
eBay Inc.,Product Manager - Native Apps,1.395 valoraciones
K-LAGAN ESPAÑA,Business Intelligence Software Developer,-
Amadeus,Analytics & Planning Senior Architect,153 valoraciones
Cross Over,SVP of Technical Product Management - $400K/YEAR,-
IQVIA,Senior Clinical Research Associate,95 valoraciones
Lastminute.com Group,Senior Software Developer,-
Amazon.com,Knowledge Engineer,24.696 valoraciones
Syneos Health Clinical,"CTA - Contract Administrator, Office Based, Madrid",469 valoraciones
Syneos Health Clinical,"Clinical Monitoring Project Lead, Madrid, Office based",469 valoraciones
Amazon.com,"Account Manager - Germany, Amazon Web Services (Madrid based)",24.696 valoraciones
The Cocktail,Programmatic and Paid Media Strategist Senior,-
CHEP,Technical Systems Engineer Southern Europe,442 valoraciones
Thermo Fisher Scientific,Customer Success Manager,1.808 valoraciones
PredictX,"Backend Engineer - Java, Big Data - Madrid",-
Roche,Global Operations Center Senior Service Coordinator,1.540 valoraciones
Santander,Global Cyber Security Manager - Santander Consumer Finance,1.963 valoraciones
Experis,ICQA Operations Manager,521 valoraciones
Hudson,Enterprise Application Architect,181 valoraciones
Kelisto,Web front end developer,-
Google,"Strategic Cloud Engineer, Google Cloud Professional Services",2.391 valoraciones
Qualtrics,Pre-Sales Engineer - Spain,-
Ericsson,R&D SW Engineer,4.902 valoraciones
Airbus Group,Customer Support General Systems Engineer,1.160 valoraciones
The Cocktail,SEO Senior,-
ideas4all Innovation,Senior Ruby on Rails Developer,-
Denodo,Sales Engineer,-
Proofpoint,"Sales Engineer, Spain",-
Aspire,Lead Consultant - Decision Management,-
CSL Behring,Key Account Manager - North-Western Spain (based in Galicia),144 valoraciones
Page Personnel España,Consultor SAP BASIS/HANA INGLÉS MUY ALTO,111 valoraciones
Ericsson,Mobile Network Roll out Engineer,4.902 valoraciones
Avanade,Containers Engineer Consultant,185 valoraciones
IQVIA,Associate Medical Safety Director,95 valoraciones
ProClinical,National Sales Manager,-
Accenture,Cloud Security Consultant,13.886 valoraciones
Accenture,Security Consulting - Infrastructure Security Consultant (Madrid / Barcelona),13.886 valoraciones
GT Linkers,INFRASTRUCTURE DATA CENTER SOLUTION ARCHITECT(m/f),-
ChannelAdvisor,Front End Engineer,-
Banco Popular Español,Global Cyber Security Manager - Santander Consumer Finance,852 valoraciones
Randstad,Senior Unix Administrator,11.073 valoraciones
Microsoft,Cloud Solution Architect with a focus on SAP,4.485 valoraciones
Imperva,Senior Sales Engineer,-
Amazon.com,Graduate Software Development Engineer,24.696 valoraciones
Logicalis,Data Science.,56 valoraciones
GfK,Junior / Senior Data Scientist,125 valoraciones
seedtag,Data Analysis - Business Intelligence Trainee,-
DataRobot,Customer Facing Data Scientist,-
Fever,Data Scientist,12 valoraciones
Global Incubator,Líder Inteligencia Artificial,-
Geoblink,Data Acquisition Internship (6 months),-
carwow,Growth Manager - Spain,-
GfK,Market Research Internship (Quantitative department),125 valoraciones
GENNION SOLUTIONS,Ingeniero Datos Junior,-
Fever,Data Engineer,12 valoraciones
Iron Hack,Data Analytics Lead Instructor,-
GENNION SOLUTIONS,Analista de datos,-
