company,job,number_of_evaluations
Minsait,Consultor/a Data Scientist,2 valoraciones
managementsolutions,CONSULTOR DATA SCIENCE MADRID,35 valoraciones
Cognizant,Junior RPA Developer,9.959 valoraciones
HAP,ML - Machine Learning Specialist,29 valoraciones
IBM,Big Data and Analytics Architect,21.723 valoraciones
ALSTOM,Data Engineer,1.923 valoraciones
PredictX,"Backend Engineer - Java, Big Data - Madrid",-
IBM,Senior Data Scientist,21.723 valoraciones
Upplication,Developer intern,-
GFT Technologies,Expert AI & Data Science,-
GFT Technologies,Expert IA & Data Science,-
ALSTOM,Data Scientist,1.923 valoraciones
Amazon.com,Software Development Engineer,24.696 valoraciones
Airbus,Airframe Data Analytic Engineer,1.160 valoraciones
Payvision,Frontend Software Engineer,-
Payvision,Full Stack Software Engineer,-
Payvision,Experienced Software Engineer,-
Amazon.com,Graduate Software Development Engineer,24.696 valoraciones
Microsoft,Software Engineer M/F,4.485 valoraciones
Expert System,Junior Software Engineer,-
L4Talent,Big Data Expert,-
McKinsey & Company,Consultant - Analytics & Process Control,361 valoraciones
IBM,DevOps engineer-Infrastructure developers,21.723 valoraciones
GMV,Prácticas: Data Science,15 valoraciones
Machiina Interacción,Back-End Developer,-
Open sistemas,Machine Learning Developer,-
Payvision,Agile AX Developer,-
Payvision,Frontend Developer,-
Amazon.com,Knowledge Engineer,24.696 valoraciones
ISOIN Ingeniería Y Soluciones Informáticas Del Sur,Data Scientist,-
Sourced,Software Engineer - Machine Learning Team,-
Microsoft,Support Escal Eng,4.485 valoraciones
Schneider Electric,"Project Application Engineer - Historian and Data Analytics, Predictive Maintenance - Spain",2.959 valoraciones
McKinsey & Company,Consultant - Predictive Maintenance & Reliability,361 valoraciones
Deimos,Image Processing Engineer / Data scientist for Satellite Applications,-
Harnham,MACHINE LEARNING ENGINEER,-
Universidad Politécnica de Madrid,Contrato predoctoral,45 valoraciones
Amazon.com,Applied Scientist,24.696 valoraciones
HAP,CTO - Chief Technology Officer,29 valoraciones
Airbus Defence and Space,Predictive Maintenance Specialist,1.160 valoraciones
Nielsen,Computer Vision Scientist,1.866 valoraciones
Microsoft,OCP SMC Spain Controller,4.485 valoraciones
Frontiers Media SA,Business Intelligence Developer,-
Payvision,Office IT Engineer,-
EXPERIAN,Pre Sales Consultant,786 valoraciones
Google,"Strategic Cloud Engineer, Google Cloud Professional Services",2.391 valoraciones
TransPerfect,Internship in Software Engineering - Madrid,143 valoraciones
Open sistemas,Internship for Data Science environments,-
CHEP,Technical Systems Engineer Southern Europe,442 valoraciones
Kimia,Data Scientist Trainee - Internship,-
Sintesys Global,Analista de Modelos de Riesgos,-
GFT Technologies,Business Consultant (BluePrism),-
Canal UGR,CONSULTOR/A DATA SCIENCE,-
360 talento,Data Scientist,-
360 Talent,Data Scientist,-
Harnham,DATA SCIENTIST,-
CRANDP,Data Scientist Preventa – Big Data/ Machine Learning,-
The Cocktail,Data Scientist,-
ECB Engineering Firm,AI Developer (Azure),-
AlienVault®,Senior Software Engineer,-
Cepsa,Data Scientist Senior,184 valoraciones
Atos,Expertos BI & Big Data,1.626 valoraciones
Catenon,Multiplatform Data Analyst,-
Michael Page,Data Scientist (h/m),156 valoraciones
-,APLICACIÓN DE MACHINE LEARNING AL ANALISIS FINANCIERO CUANTITATIVO,-
"Solera, Inc.",Data Scientist,-
IBM,Account Architect,21.723 valoraciones
AKKA TECHNOLOGIES,ANALISTA DE DATOS MACHINE LEARNING M/F,79 valoraciones
Amazon.com,Business Development Representative - Hebrew Language Speaker,24.696 valoraciones
Amazon.com,Business Development Representative - Arabic Language Speaker,24.696 valoraciones
Sourced,Software Engineer - Data Retrieval Team,-
Microsoft,Senior Software Engineer,4.485 valoraciones
The Cocktail,Data Engineer,-
TrustYou,Full Stack Engineer (Python/React),-
Deloitte,Recién titulados en Ingeniería o Matemáticas,6.693 valoraciones
Banco Popular Español,GCB: Transaction Monitoring Analyst,852 valoraciones
Spring Professional,BIG DATA ENGINEER,2 valoraciones
Between Technology,Business Data Scientist,6 valoraciones
"T-Systems ITC Iberia, S.A.",Big Data & Analytics Sales Expert (f/m),2 valoraciones
The Boston Consulting Group,Analyst – Predictive modelling & Statistics & Machine Learning,182 valoraciones
Santander,GCB: Transaction Monitoring Analyst,1.963 valoraciones
Michael Page,Director de Area Data Science / Machine Learning,156 valoraciones
Eventbrite,Front End Engineer,-
Sourced,Software Engineer - Language Analysis Team,-
Sourced,Software Engineer - Infrastructure Team,-
HUB Talent,Full Stack Developer (m/f) PHP,-
Amazon.com,Business Development Representative - German Language Speaker,24.696 valoraciones
lastminute.com group,Senior Agile Coach,-
Tribal World Wide,Buscamos Data Technical Lead / Data Engineer (Madrid),-
Robert Walters,Data Scientist,46 valoraciones
Serem,"Científico de Datos, Madrid",5 valoraciones
Accenture,Data Scientist Advanced Analytics expert (Madrid),13.886 valoraciones
Amazon.com,Business Development Representative - French Language Speaker,24.696 valoraciones
EXPERIAN,Senior Product Manager EMEA,786 valoraciones
Activex Informaticos,Proyectos Innovación/ Rest Api,-
Okuant,Data Scientist con Experiencia/ Big Data,-
Micro Focus,Account Executive (NetIQ),134 valoraciones
Payvision,Senior Tester Engineer,-
Amazon.com,EMEA Business Development Manager - IoT Solutions,24.696 valoraciones
Airbus Group,INTERNSHIP - FLIGHT TEST MEANS,1.160 valoraciones
The Boston Consulting Group,"Senior Analyst - Senior Analyst, Predictive modelling & Statistics & Machine Learning",182 valoraciones
Minsait,Senior Research Engineer,2 valoraciones
TEK-TANK,Ingeniero en Prácticas en Madrid,-
SAP,Presales Senior EMEA South - Predictive Analytics and Machine Learning,1.598 valoraciones
Lastminute.com Group,Senior Software Developer,-
Novanotio,Desarrollador Python Backend,2 valoraciones
Paradigma Digital,Desarrollador Big Data,-
Lingokids,Sr Backend Engineer,-
Catenon,Consultor Funcional BI Big Data,-
GMV,Ingeniero de Datos con experiencia en Python,15 valoraciones
ALTEN Spain,"Investigador Inteligencia Artificial, Madrid",4 valoraciones
Accenture,Digital Manager Analytics/Big Data in Telecom Industry (Madrid),13.886 valoraciones
The Boston Consulting Group,Senior Analyst - Data Engineer,182 valoraciones
Ecix Group,Analista programador,-
Geoblink,Senior Data Analyst (Location Intelligence),-
Harnham,SENIOR DATA SCIENTIST,-
Page Personnel España,Ingeniero Responsable Energy Center (h/m),111 valoraciones
TrustYou,QA Engineer,-
BBVA,Auditor Senior en Data Analytics,488 valoraciones
ECB Engineering Firm,Developer . NET with Azure (remote),-
IBM,Cloud Senior Technical Architect,21.723 valoraciones
Insider,Country Manager,-
Spring Professional,Artificial Intelligence Department,2 valoraciones
Traventia,"Desarrollador junior full-stack, Madrid - Primer Empleo",-
ADECCO OFFICE,Ingeniero/a especializado/a Energía. Estable. Madrid Centro,12.645 valoraciones
Hudson,Director Marketing (marketing sciences and analytics),181 valoraciones
Spring Professional,Consultor SAS,2 valoraciones
Accenture,Experts in Artificial Intelligence (AI) Solutions,13.886 valoraciones
Packlink,Frontend Senior Developer,-
Eventbrite,Senior Software Engineer - Python/Django,-
Eventbrite,Senior Front End Engineer,-
Sourced,Senior Software Engineer - Applications Team,-
Page Personnel España,Analista Técnico Java,111 valoraciones
Arfima,Assistant Junior Algorithmic Trader,-
Globetech,Engineer NLP machine learning,-
Jobandtalent Careers,Junior Frontend Developer,-
Taiger,Software Engineer,-
GfK,Junior / Senior Data Scientist,125 valoraciones
DataRobot,Customer Facing Data Scientist,-
Nextail Labs,Partnerships Associate,-
Taiger,Software QA Engineer,-
Nextail Labs,Head of Talent,-
Taiger,Junior Project Manager,-
Getwith,Data Engineer,-
Zartis,Big data Engineer,-
seedtag,Javascript Engineer - Backend,-
Geoblink,Senior Data Scientist (Location Intelligence),-
Hays Response,Consultor Energético,-
