company,job,number_of_evaluations
HSBC,Senior Data Scientist LAM,"9,939 evaluaciones"
Procter & Gamble,DATA WRANGLER AND ASSOCIATE DATA ENGINEER,"4,407 evaluaciones"
Amazon.com,Big Data and Analytics Specialist Solution Architect,"24,696 evaluaciones"
Amazon.com,"Senior Consultant, Big Data - Professional Services","24,696 evaluaciones"
Logitech,System Program Manager,91 evaluaciones
Publicis Media,Director of Branded Content,-
BBVA Bancomer,EXPERIENCIA DIGITAL BMI ( CDMX),"1,332 evaluaciones"
Tom Sawyer Software,Engineering Intern,-
Merieux NutriSciences,Operations Supervisor,-
DXC,Service Delivery Manager,"1,377 evaluaciones"
Citi,Data Engineer for Digital Data Science Team,"13,834 evaluaciones"
"Milestone Systems, Inc.",Support Professional,-
Omnitracs,Eng SW - ES (BKF),41 evaluaciones
Casa Systems Inc,"Systems Engineer II, Mobility (EPC-GW) - CALA",-
Tala,Mexico - Customer Experience Advocate,-
"Agilent Technologies, Inc.",Customer Service Representative,486 evaluaciones
Banamex,Analista Database CRM,"2,367 evaluaciones"
Goldman Sachs,FICC Technology - Latam Developer - ANALYST - Mexico City,-
Publicis Media,Becario de mercadotecnia para medios publiciarios,-
B.Yond,Packet Core Specialist,-
Cognizant,L3 Portal support,"9,959 evaluaciones"
Urban,Analyst,25 evaluaciones
Travelport,API Support Analyst,116 evaluaciones
Planet Expat,Business Development Leader,-
Microsoft,Subsidiary M365 BG Leader,"4,485 evaluaciones"
Cognizant,AS400 senior,"9,959 evaluaciones"
Honeywell,Technical Support Specialist,"5,938 evaluaciones"
WIZELINE,Software Developer,-
Honeywell,Project Controls Specialist,"5,938 evaluaciones"
"JDA Software Group, Inc.",Solution Architect (Supply Chain Planning),-
SAP,IT Technology Senior Consultant for Cloud Platform Operations - Monterrey,"1,598 evaluaciones"
Casa Systems Inc,Senior Systems Engineer - Mobility RAN (CALA),-
Synechron Inc.,QA Automation Tester,-
amdocs,ETL Developer,821 evaluaciones
Urban,Developer,25 evaluaciones
