company,job,number_of_evaluations
Mahisoft,Software Engineer (Backend),-
EPAM Systems,Big Data Support Engineer,123 evaluaciones
Cliber,¿Dominas Javascript? Tenemos vacantes interesantes.,-
Page Personnel México,Data Scientist Junior - Empresa mexicana,111 evaluaciones
McKinsey & Company,"Solution Delivery Analyst - Periscope, New Ventures",361 evaluaciones
"Services & Processes Solutions, S.A. de C.V.",Becario/Desarrollador/Integrador de aplicaciones,-
Microsoft,Partner Technical Consultant,"4,485 evaluaciones"
EPAM Systems,NoSQL Database Administrator - Support Engineer,123 evaluaciones
EPAM Systems,BI Support Engineer,123 evaluaciones
EPAM Systems,ETL Support Engineer,123 evaluaciones
Sanofi,Digital Supply Chain Manager,"2,687 evaluaciones"
Microsoft,Cloud Solution Architect,"4,485 evaluaciones"
ESTRATEGIA TECNOLOGICA,Big Data,-
Cognizant,QE Team Lead,"9,959 evaluaciones"
Find a Sense,Regional Intelligence Lead,-
TERSS Headhunting $ Outplacement,Lead BIG DATA SUPPORT Engineer,-
Citi,Centers of Expertise (COE) Director,"13,834 evaluaciones"
Emerald Technology,Sales Director,-
Conekta,Data Architect,-
Konfio,Data Scientist,-
Ritter,Data Scientist Jr,-
Boletia,Analista de Fraude Junior,-
Mirai,CONSULTANT- BIG DATA,-
NOVA SOLUTIONS SYSTEMS,DATA SCIENTIST/PERFORMANCE SPECIALIST,-
Intélite,FULL STACK DEVELOPER,19 evaluaciones
Pulpomatic,Technical Leader,-
Services & Processes Solutions S. A. de C.V.,Becario IT,-
NOVA SOLUTIONS SYSTEMS,Business Intelligence / Marketing Digital,-
AYALO SAPI DE CV,Back End Engineer,-
Piu Capital,"Iot Architect $35,000 a $45,000. L-V de 9:30am a 6:30pm. Polanco",-
Mirai,SENIOR CONSULTANT- BIG DATA,-
Cliber,Chief Technology Officer,-
Cliber,Javascript Developers,-
