company,job,number_of_evaluations
Amazon.com,Solutions Architect - Data Warehouse specialist,"24,699 reviews"
NYP/Weill Cornell Medical Center,Jr. Data Scientist,999 reviews
Capgemini,Big Data Engineer,"5,578 reviews"
UnitedHealth Group,Provider Data Attestation Representative,"11,741 reviews"
Interactive Brokers,Junior Data Scientist,23 reviews
The Hartford,"Data Scientist, Group Beneftis and Middle Market P&C","1,350 reviews"
Capgemini,Big data Architect,"5,578 reviews"
Amazon.com,Principal Data Modeling Engineer,"24,699 reviews"
Google,Big Data and Analytics Cloud Consultant,"2,391 reviews"
New York State Office of the Attorney General,Data Analysis & Research Intern (Fall/Spring 2018-19),39 reviews
T. Rowe Price,Data Scientist,294 reviews
JP Morgan Chase,JPMorgan Chase Institute- Big Data Engineer,"19,910 reviews"
Google,"Data Engineer, YouTube Measurement Program, YouTube","2,391 reviews"
Sony Pictures Entertainment Inc.,"NYC TV Research Trainee, Sony Pictures Television – Summer/Fall 2018",290 reviews
Columbia University,Data Analyst,724 reviews
KPMG,Insights Data Center Consultant,"4,382 reviews"
Oscar Insurance,Provider Data Processor,18 reviews
Accenture,Big Data Architect,"13,886 reviews"
Slalom Consulting,Big Data Architect,46 reviews
Google,"Data Scientist, Admin Support, Google Cloud","2,391 reviews"
Bank of America,Data Services Engineer,"21,520 reviews"
Fora Financial LLC,Junior Data Analyst,18 reviews
Sartorius Corporation,Data Scientist,2 reviews
360i,"VP, Data Engineering",14 reviews
KPMG,"Big Data Software Engineer, Associate","4,382 reviews"
Amazon.com,SDE New York,"24,699 reviews"
ZS Associates,Strategy & Architecture Consultant/Big Data,213 reviews
MetroPlus Health Plan,Data Scientist,95 reviews
EPAM Systems,Big Data Solution Architect,123 reviews
Warby Parker,Data Scientist / Statistician,30 reviews
Tokio Marine Management Inc.,Intern: Investment Data Scientist,-
Morgan Stanley,Data Scientist - Private Bank,"2,614 reviews"
Coso IT,Big Data Engineer,-
Outbrain Inc.,Data Center Engineering Intern,-
Amazon.com,IOT Architect,"24,699 reviews"
S&P Global,Big Data Engineer,590 reviews
Sapient Global Markets,Big Data Architect,39 reviews
Mythics,Data Warehouse DBA,9 reviews
Croud,DATA ANALYST,2 reviews
DigitasLBi,"Analyst, Data and Analysis",149 reviews
General Motors,Cadillac Data Scientist,"5,805 reviews"
Newsela,Junior Data Scientist,8 reviews
Research Foundation of The City University of New...,Data Analyst,68 reviews
Comcast,Big Data Engineer,"11,334 reviews"
Macy's,"Director, Data Science","25,219 reviews"
New York State Office of the Attorney General,Data Scientist,39 reviews
Bright Power,Data & Analysis Intern,2 reviews
Metro-Goldwyn-Mayer Studios,Junior Data Analyst,-
Microsoft,Data & Applied Scientist,"4,485 reviews"
Wipro LTD,Solution Architect Big Data,"10,978 reviews"
Mount Sinai,Data Analyst I - Appeals Management - Full Time - Days,"1,001 reviews"
New Visions Central Office,Jr. Data Operations Engineer,-
The Players' Tribune,Data Scientist,-
Symphony Talent,Big Data Engineer,4 reviews
New Visions for Public Schools,Jr. Data Operations Engineer,8 reviews
Sony Music Entertainment,"SVP, Data Strategy",318 reviews
Publicis Media,Software Engineer AMR (Big Data),12 reviews
Denodo Technologies,Data Engineer - SQL / Big Data / Java,-
UBS,Data Scientist - Investment Bank,"1,540 reviews"
Conde Nast,Data Scientist,233 reviews
Amazon.com,Event Marketing Manager,"24,699 reviews"
Columbia University,Data & Research Analyst,724 reviews
Amazon.com,AWS Solutions Architect,"24,699 reviews"
Adaptive Management,Data Research Analyst,2 reviews
Morgan Stanley,Data Federation Engineer,"2,614 reviews"
Tapestry,Data Scientist,27 reviews
"CoEnterprise, LLC",Jr. Data Analyst,-
Gartner,"L2, Junior Data Engineer, NYC Location",268 reviews
Innovations for Poverty,"Research Analyst, Research Transparency - Data Ethics & Gov",-
NSG-OR TH 6 (H377) NYU Langone Hospitals,Data Analyst - Peri-operative Services,462 reviews
B&H Photo Video,Data Quality Analyst - Computers/Home Theater,46 reviews
AppNexus,"Software Engineer, Big Data",9 reviews
New York University,Data Analyst,687 reviews
"Pandora Media, Inc.","Senior Data Engineer, Next Big Sound",31 reviews
Relay Graduate School of Education,Data Analyst,4 reviews
Google,"Data Scientist/Quantitative Analyst Intern, Summer 2018","2,391 reviews"
JLL,Research Data Analyst,"1,733 reviews"
HBO,"HBO Director, Data Engineering",107 reviews
Redfin,Data Journalist,40 reviews
Mount Sinai,DATA ANALYST II,"1,001 reviews"
Grubhub,Data Scientist II,242 reviews
Amazon.com,"Senior Software Development Engineer – Big Data, Amazon Athena","24,699 reviews"
Columbia University,Data Analyst - Nephrology,724 reviews
NNSC at John Jay College,"Associate, Data Analytics",-
MetroPlus Health Plan,QM Operations Data Analyst,95 reviews
WeWork Global Technology,Data Scientist - Machine Learning,-
Mount Sinai,DATA ANALYST I - Department of Neurosciences,"1,001 reviews"
Success Academy Charter Schools,Data Analyst,80 reviews
Criteo,"Data Analyst, Global Supply",21 reviews
BuzzFeed,Data Scientist,26 reviews
KPMG,Big Data SW Engineer,"4,382 reviews"
Downtown Music Publishing,Data Analyst Intern (Fall 2018),-
Blue Mesa Health,Data Analyst/Scientist,-
Sony Music Entertainment,Data Engineer,318 reviews
AdTheorent,Data Scientist,-
American Express,Data Scientist and Machine Learning Researcher,"5,500 reviews"
HSBC,Data Analyst,"9,939 reviews"
Google,"UX Engineer, Data Visualization","2,391 reviews"
TEACHERS RETIREMENT SYSTEM,Data Research Analyst,10 reviews
"Langan Engineering and Environmental Services, Inc...",Environmental Data Analyst - 1 to 5 Years Experience,25 reviews
PlaceIQ,Data Scientist,7 reviews
"AbleTo, Inc.",Data Analyst,11 reviews
DEPT OF INFO TECH & TELECOMM,Data Scientist,31 reviews
NBCUniversal,"Fall 2018 Internship, Data Science Practica (New York, NY)","1,694 reviews"
The Players' Tribune,Data Engineer,-
Harry's,"Staff Engineer, Data",11 reviews
The University of Chicago,Policy Analyst (Data Scientist),359 reviews
Neuberger Berman,Reporting and Data Analytics Analyst,59 reviews
Microsoft,Researcher,"4,485 reviews"
Northwestern Mutual Life Insurance Company,Data Scientist,"2,127 reviews"
