company,job,number_of_evaluations
Butterfly Network,Machine Learning Research Scientist,-
LAM Therapeutics,Deep Learning Research Scientist,-
Comcast,Algorithm and Machine Learning Engineer,"11,334 reviews"
Facebook,"Applied Research Scientist, Core Machine Learning",344 reviews
Memorial Sloan Kettering,Machine Learning Engineer,639 reviews
NYP/Weill Cornell Medical Center,Machine Learning Engineer,999 reviews
PepsiCo,eCommerce Data Science & Machine Learning Analyst,"9,709 reviews"
American Express,Data Scientist and Machine Learning Researcher,"5,500 reviews"
WeWork Global Technology,Data Scientist - Machine Learning,-
AIG Philippines Inc.,Statistical Machine Learning Scientist,-
Penguin Random House LLC,Data Scientist/Machine Learning Engineer,279 reviews
Simons Foundation,"Flatiron Research Fellow, Machine Learning & Statistics, CCA",4 reviews
"Two Sigma Investments, LLC.",Quantitative Researcher in Machine Learning,7 reviews
"Two Sigma Investments, LLC.","Researcher, Deep Learning",7 reviews
Google,"Software Engineer, Machine Learning","2,392 reviews"
Spotify,Machine Learning Engineer – Search/Recommendations,33 reviews
McKinsey & Company,Associate - Machine Learning,361 reviews
Novetta,Machine Learning Research Engineer,24 reviews
AIG,Statistical Machine Learning Scientist,"2,546 reviews"
Spotify,Machine Learning Infrastructure Engineer,33 reviews
BlackRock,Machine Learning Researcher (Ph.D.),311 reviews
MLB.com,Machine Learning Engineer,20 reviews
Etsy,"Data Scientist, Machine Learning & AI",30 reviews
Spotify,Machine Learning Engineering Manager – Creator,33 reviews
Amazon.com,Applied Scientist- AI,"24,701 reviews"
Medidata Solutions,Statistical Analyst/Data Scientist (Machine Learning),30 reviews
The NPD Group,Data Scientist – Machine Learning,37 reviews
Bank of America,Data Scientist I,"21,521 reviews"
Spotify,Engineering Manager – Machine Learning,33 reviews
Twitter,"SOFTWARE ENGINEER, MACHINE LEARNING",55 reviews
"Topcon Medical Systems, Inc.",Machine Learning Scientist/Engineer,-
Google,"Machine Learning Solutions Engineer, Google Cloud, Professional Services","2,392 reviews"
Capital One,Principal Machine Learning Data Scientist - Natural Language Processing,"6,097 reviews"
JP Morgan Chase,Machine Learning Engineer,"19,910 reviews"
AIG Philippines Inc.,Deep Learning Scientist,-
Capital One,Principal Machine Learning Specialist - Anomaly Detection,"6,097 reviews"
Amazon.com,Applied Scientist - Amazon AI,"24,701 reviews"
Amazon.com,Data Engineer,"24,701 reviews"
Facebook,"Instagram - Software Engineer, Machine Learning",344 reviews
Facebook,"Software Engineer, Machine Learning",344 reviews
NBCUniversal,Software Engineer - AR / VR / AI / Machine Learning,"1,694 reviews"
Google,Student Research Collaboration,"2,392 reviews"
Amazon.com,SDE New York,"24,701 reviews"
FactSet Research Systems,Principal Machine Learning Architect,370 reviews
WeWork Global Technology,Manager Data Science - Machine Learning,-
AIG,Deep Learning Scientist,"2,546 reviews"
Frame.io,Security Threat Intelligence,-
Morgan Stanley,Deep Learning Lead,"2,614 reviews"
Columbia University,Associate Research Scientist,724 reviews
Amazon.com,"Sourcing Recruiter, Alexa","24,701 reviews"
Blue Apron,Lead Machine Learning Engineer,401 reviews
Google,"Research Scientist, Google Brain (United States)","2,392 reviews"
Columbia University,Staff Associate,724 reviews
Microsoft,Researcher,"4,486 reviews"
Amazon.com,"Software Developer, Amazon Fresh and Prime Now","24,701 reviews"
Google,"Sales Engineer, Machine Learning, Google Cloud","2,392 reviews"
Amazon.com,Data Scientist III,"24,701 reviews"
Conga,Product Manager for Machine Learning,9 reviews
TEACHERS RETIREMENT SYSTEM,Data Research Analyst,10 reviews
Tokio Marine Management Inc.,Intern: Investment Data Scientist,-
Temboo,Senior Machine Learning Engineer,-
NIKE INC,Research Data Scientist,"5,839 reviews"
Comcast,Senior Algorithm & Machine Learning Eng,"11,334 reviews"
Columbia University,Technician Assistant,724 reviews
