company,job,number_of_evaluations
Extia,Data Scientist H/F,21 avis
Total,Data Scientist (H/F),865 avis
CGI,Data Scientist H/F,1 659 avis
BNP Paribas Corporate & Institutional Banking,DATA SCIENTIST / AI LAB,57 avis
La Banque de France,DATA SCIENTIST - H/F,-
Carrefour,Data scientist H/F,15 695 avis
INSEE,Chargé d'étude / data scientist / économiste,13 avis
Sia Partners,Consultant(e) Data Science,6 avis
Ubisoft,CMK Data Scientist Assistant - Alternance (H/F),155 avis
soft.computing,Consultant Data Science,-
BNP Paribas,DATA SCIENTIST / AI LAB,2 123 avis
EDF,Stage en alternance - Test de nouvelles méthodes en Data Science pour les enjeux du Marketing Prédictif - H/F,1 124 avis
Premier Ministre,Apprenti.e Chargé.e de la promotion et de la diffusion de la stratégie open data,2 avis
BNP PARIBAS Cardif,"Data Scientist, H/F",57 avis
Sarenza,DATA ANALYST – TRAFFIC – CDI - F/H,16 avis
BNP Paribas Corporate & Institutional Banking,"Stage Data Scientist, H/F",57 avis
Deloitte,Stagiaire Data Scientist Audit Analytics (FSI) (H/F),6 694 avis
soft.computing,Manager Data Science,-
BNP Paribas,"STAGE DATA SCIENTIST, H/F",2 123 avis
Innoscape,Stage en Data Science & Data Visualisation,-
UX-Republic,DATA-ANALYST,-
BNP Paribas Personal Finance,Alternant - Data Scientist junior - H/F,57 avis
Groupama,Data Scientist H/F,309 avis
Carrefour,DATA SCIENTIST (F/H),15 695 avis
AXA,Alternance – Data Science : Collecte et analyse de la donnée et production d’ indicateurs (Dashboard) H/F,-
C3 IoT,Data Scientist (Paris),-
Total,STAGE - DATA ANALYST JUNIOR H/F,865 avis
AXA,Stage / Alternance Data science - Souscription - H/F,-
soft.computing,Stage - Consultant Data Scientist,-
Exakis,Manager en organisation – Data Science (H/F),8 avis
02/03/2018,Data Scientist H/F,-
Bilink,Expert Data Science SAP (H/F),-
Natixis,Data Scientist (H/F),270 avis
BNP Paribas,Alternant Concepteur Big Data/Data Science -H/F,57 avis
HIGHTEAM,MOA projets Data Science H/F / Freelance,-
Innoscape,Stage en Développement Solutions Data Science,-
Capgemini,Data Scientist / H/F,5 578 avis
GroupM,Data Scientist H/F,88 avis
La banque postale,Data Analyst F/H - CDI,311 avis
Generali France,Data scientist H/F,133 avis
Bel Group,Data Analyst (H/F),36 avis
Credit Agricole Assurances,ALTERNANCE - DATA SCIENTIST JUNIOR H/F,1 274 avis
EDF,Data Scientist - H/F,1 124 avis
SG CIB,DATA SCIENTIST-(H/F),1 400 avis
Exakis,Consultant en organisation – Data Science (H/F),8 avis
Veolia,Contrat de Professionnalisation - DATA Scientist,1 930 avis
BeNext,Data Scientist,-
Total,ALTERNANCE - Data mining & NLP pour les domaines techniques Oil&Gas,865 avis
Airbus Group,Ingénieur(e) d’études – data scientist F/H,1 160 avis
Malakoff médéric,Alternance - Data Analyst - Écosystème Data H/F,65 avis
Avisia,Data Scientist,-
Avisia,Data Engineer,-
Amaris,Développeur Big Data,37 avis
Itelios,"Data Analyst, Paris 9ième H/F",-
PwC,Analyste Data & Analytics Transactions,5 524 avis
Sia Partners,Stage de fin d’études Consultant(e) Data Science,6 avis
ACERGY FRANCE,Data Scientist - Miner F/H,-
Dassault Systèmes,APPRENTISSAGE - Data Scientist (H/F),175 avis
Margo Conseil,Data Scientist,-
Crédit Agricole Leasing & Factoring,Data Scientist H/F,5 avis
Crédit Agricole Leasing & Factoring,Data Scientist H/F,5 avis
Scalian,Data Scientist H/F,6 avis
OUI.sncf,Data Engineer (H/F),3 avis
Generali France,Data scientist IARD H/F,133 avis
Ubisoft,Data Scientist (H/F),155 avis
Direction générale des entreprises (DGE),"Rapporteur, spécialiste de l'éthique des données (Data Ethicist) - CNN - DGE",-
Sogeti France,Data Scientist H/F,20 avis
Air Liquide,DIGITAL - Stagiaire Data scientist - (F/H),983 avis
La banque postale,Data scientist H/F - CDI,311 avis
HARNHAM,Manager Data Science - Banque/Finance F/H,-
CAP FI TECHNOLOGY,Data Engineer,-
Enedis,Alternance - Data Scientist junior (Master 2) - H/F,321 avis
AXA,Data Scientist (F/H),-
Google,"Quantitative Analyst/Statistician, Data Science",2 392 avis
SG CIB,Stage - Data scientist-(H/F),1 400 avis
Air Liquide,Paris-Saclay - Data Scientist R&D Sr (H/F) FR,983 avis
Allianz France,Alternance - Assistant(e) informatique en conduite de projet & Data scientist H/F,457 avis
Ercom,Data engineer H/F,-
soft.computing,Consultant Data Analyst,-
GFI,Data Scientist H/F,90 avis
AXA,Data Scientist - CDD 5 mois F/H,-
Micropole,Consultant Data Scientist – H/F,9 avis
Allianz France,Alternance - Chargé(e) de DATA Sciences H/F,457 avis
Tradelab,BIG DATA ENGINEER,-
KPMG,Senior Data Science,4 383 avis
CGI,Architecte Big Data H/F,1 659 avis
Cognizant,Data Scientist junior Paris,9 959 avis
Data2I,Data Engineer F/H,-
-,Vers une évaluation universelle du niveau de complexité des textes,-
Dentsu Aegis,DATA SCIENTIST – MODELISATION DES VENTES,114 avis
Dentsu Aegis,DATA SCIENTIST – MODELISATION DES VENTES,114 avis
CALIS-CONSEIL,Consultant MOA Data / Freelance,-
INTERSEC,Geo Data Scientist F/H,-
iPSOS,APPRENTISSAGE - DATA ANALYST (H/F) - IPSOS CUSTOMER EXPERIENCE,321 avis
EDF,Data scientist / data engineer - H/F,1 124 avis
Sanofi,DATA SCIENTIST Alternant,2 687 avis
Total,Alternant(e) Business Intelligence Data Cruncher,865 avis
ENGIE,ENGIE Digital - Data Scientist (H/F),665 avis
Premier Ministre,Apprenti.e datascientist,2 avis
Solocal Group,Data Scientist H/F,23 avis
HSBC,Alternance Data Scientist (H/F),9 939 avis
Caisse des dépôts et consignations,Lead Data Scientist H/F (2018-04-0082),12 avis
Econocom,Data Engineer H/F,58 avis
Showroomprive.com,DATA SCIENTIST - H/F,29 avis
EDF,Alternance -Charge de qualité Data / Extra financier - H/F,1 124 avis
Nexter,Data Engineer / Data Scientist H/F,8 avis
EY,Consultant Data Scientist Débutant H/F,5 232 avis
METRO,ALTERNANCE Concepteur et Développeur Big Data et Analytics F/H,1 134 avis
EDF,Apprenti Ingénieur Informatique/ Data Science - H/F,1 124 avis
Altran,DATA SCIENTIST H/F,203 avis
Renault,Data Architect (H/F),3 045 avis
Crédit Agricole S.A.,Data Scientist H/F,1 274 avis
BNP Paribas,Data Engineer / Développeur Back End H/F,57 avis
Egencia,Data Engineer,30 avis
La banque postale,Data Quality Manager H/F CDI,311 avis
EY,Consultant expérimenté Data & Analytics pour l’Assurance - H/F – Paris,5 232 avis
Dynacentrix,Statisticien Sante - Pharma H/F,-
Supermood,DATA ANALYST,-
ENGIE Axima,Stagiaire Data Scientist Maintenance Prédictive (H/F),665 avis
AUTO1 Group,Data Analyst (H/F) - STAGE,-
Premier Ministre,Adjoint-e à la cheffe de la mission Etalab,2 avis
Atos,Chief Data Scientist H/F,1 626 avis
Allianz France,Data engineer (H/F),457 avis
Shift Technology,Data Scientist (ES),-
Banque de France,Data scientist - H/F,106 avis
Atos,Consultant Data Science secteur Energie,1 626 avis
SAP,Internship: Data Science / ML aficionado M/F,1 598 avis
Margo Conseil,Data engineer,-
Premier Ministre,STAGIAIRE AU SEIN DE LA MISSION ETALAB,2 avis
Sia Partners,Consultant(e) - Data Analyst,6 avis
BCA Expertise,DATA SCIENTIST H/F,11 avis
Bouygues Telecom,Data Scientist Marketing (H/F),365 avis
EY,"Data Analyst/Data Scientist – Paris, Lyon, Nantes (H/F)",5 232 avis
Philaë Technologies,Data architect H/F,-
Eurodecision,Consultant Quant (Data Science),-
FNAC DARTY,Data Scientist H/F,8 avis
AXA,Développeur Big Data – F/H,-
WAKE IT UP,Développeur .Net Core 2 – Hors du commun – Editeur pointu en Data Science/AI powered by Criteo - H/F,-
managementsolutions,DATA SCIENCE CONSULTANT PARIS,-
AXA,Actuaire Data Scientist IARD Entreprises (F/H),-
Renault,APPR - BAC+5 - Apprenti(e) Ingénieur Data Analyste H/F,3 045 avis
Other Entities,DATA SCIENTIST - Solutions Filière Finance-(H/F),-
JOHN PAUL,Data Manager H/F,7 avis
OCTO Technology,Consultant Data Geek (H/F),4 avis
Davidson consulting,Business Manager – Data science et intelligence artificielle- H/F H/F BOULOGNE BILLANCOURT . CDI,7 avis
WAKE IT UP,Lead DATA Scientist –Editeur pointu en Data Science/IA - powered by Criteo F/H,-
Cardiologs,Data Scientist,-
DATATORII,Consultant(e) data scientist F/H,-
EMÉRIQUE & PARTNERS,Data Scientist / Actuaire barèmes de tarification - Compagnie d'assurance F/H,-
Showroomprive.com,LEAD DATA SCIENTIST - H/F,29 avis
Highco,Stagiaire Data Project Manager H/F,5 avis
Altares D&B,DATA SCIENTIST SENIOR – H/F,2 avis
AXA,Data Leak Protection Engineer (F/H),-
AUTO1 France,Data Analyst (H/F) - STAGE,-
Dynacentrix,Consultant Data Scientist (H/F),-
ENGIE - BU France BtoC - DCP,ALT - Data scientist (H/F) en alternance,-
SAP,Data Science Platform Engineer at Enterprise Analytics (H/F),1 598 avis
Groupe Onepoint,Consultant(e) Data Scientist,5 avis
YSANCE,Data-Scientist F/H,-
CAPFI VITADATA,Data Scientist F/H,-
SARL INOV,DATA SCIENTIST F/H,-
PwC,Consultant Data junior ou expérimenté,5 524 avis
PwC,Manager Data,5 524 avis
SHOWROOMPRIVE COM,DATA SCIENTIST - F/H,-
soft.computing,Consultant Senior Data Science,-
DATATORII,Consultant(e) data F/H,-
IQ ANALYTICS,2 Data scientist F/H,-
Dir. des Clientèles Bancaires,Data scientist / Data analyst - UNIQUEMENT EN STAGE H/F,-
EXteam,Data Engineer H/F / Freelance,-
Renault,APPR - BAC+2 - Apprenti(e) Data Engineer Big Data H/F,3 045 avis
Franfinance,Data Scientist en alternance H/F-(H/F),14 avis
Dentsu Aegis,Consultant DATA H/F,114 avis
AccorHotels,Data Scientist,1 112 avis
ProcessOut,DATA SCIENTIST — INTERN,-
HARNHAM,Data Scientist - Marketing Digital F/H,-
Capgemini,Consultant Data Scientist confirmé H/F,5 578 avis
Manomano,Head of Data Engineering (H/F),-
TINYCLUES,Data Operations Engineer,-
Groupe Agrica,Data Architect H/F,3 avis
PwC,Consultant Data & Analytics,5 524 avis
Uniware,DATA ANALYST / Freelance,-
CAPFI VITADATA,Data Engineer F/H,-
L.E.K. Consulting,Paris office - Life Sciences Specialist - Sept 2018,-
ESTIA CONSEIL,Consultant Data scientist F/H,-
Supermood,Data Engineer,-
ADIKTEEV,Data Scientist (M/F),-
Gameloft,Junior Data Scientist,47 avis
Shift Technology,Data Scientist (Portuguese),-
Sogetrel,Data analyst(H/F),49 avis
Solocal Group,STAGE - Data engineer H/F,23 avis
PSAPeugeotCitroen,Data Architect H/F,1 235 avis
Solog,Consultant DataScientist Big Data (H/F),-
La banque postale,DATA MINER - STAGE,311 avis
VENTE PRIVÉE,Data scientist - H/F,38 avis
EY,Consultant Junior SI spécialisé Data – Financial Services HF,5 232 avis
