company,job,number_of_evaluations
Hewlett Packard Enterprise,Junior Sales Account Operations,3.400 evaluaciones
-,Coordinador Estadístico,-
AmigoCloud,Big Data Full-Stack Developer,-
ENEL,Practicante Profesional de Innovación Tecnológica y Sistemas de Datos,39 evaluaciones
Aliada,Sr. Operations & Logistics Manager,-
ENEL,Practicante Profesional de Ingeniería de Sistemas de Red,39 evaluaciones
Verizon,Java Developer,19.301 evaluaciones
AmigoCloud,Business Development Representative,-
ECB Engineering Firm,Jefe de Proyectos BI - Developer (Programación Java - ETL),-
AmigoCloud,Full-Stack Developer,-
Innovations for Poverty Action,"Temporary Senior Research Associate, Building Effective, Resilient and Trusted Police Organization in Mexico",-
Google,"Sales Engineer, Google Cloud Platform (Spanish)",2.391 evaluaciones
HUAWEI DEL PERU,Account Manager - Cloud solutions,2.416 evaluaciones
CA Technologies,Services Sales Manager,699 evaluaciones
ECB Engineering Firm,Analista programador ETL / Phyton - Java,-
CA Technologies,Sr Services Consultant,699 evaluaciones
