company,job,number_of_evaluations
THR PERU,Data Analyst Junior,-
FedEx Cross Border - Bongo Perú,Software Architecture Specialist,-
BEAUTIFUL LIFE STUDIOS,Back-end Web Developer,-
CA Technologies,Associate Services Consultant,699 evaluaciones
Interbank,Tech Lead,184 evaluaciones
AmigoCloud,Big Data Full-Stack Developer,-
Qualifacts,Senior Business Analyst / Data Analyst,-
HUAWEI DEL PERU,IT Account Manager (Telecom),2.416 evaluaciones
Google,"Sales Engineer, Google Cloud Platform (Spanish)",2.391 evaluaciones
Verizon,Java Developer,19.301 evaluaciones
AmigoCloud,Full-Stack Developer,-
HUAWEI DEL PERU,Cloud Solution Architect,2.416 evaluaciones
SUNAT,ESPECIALISTA EN MODELOS ANALÍTICOS (CAS N°363-2018),187 evaluaciones
SAP,Senior Java Developer,1.598 evaluaciones
AstraZeneca,Oncology Key Account Manager,1.386 evaluaciones
