company,job,number_of_evaluations
Salesforce,Data Science & Engineering Leaders,363 reviews
Twitch,Director of Data Science,31 reviews
Google,"Data Analyst, Trust and Safety, YouTube","2,391 reviews"
Amazon.com,Big Data Solutions Architect,"24,699 reviews"
Yelp,Data Scientist,298 reviews
First Republic Bank,Data Science Intern,119 reviews
University of California San Francisco,"Data Core Data Analyst, CLIIR/DHM",263 reviews
Rainforest QA,Data Science Generalist,-
University of California San Francisco,Data Scientist,263 reviews
Hewlett Packard Enterprise,Data Scientist,"3,400 reviews"
Twitter,"Data Scientist, Product",55 reviews
Credit Karma,Data Scientist - Growth,6 reviews
BOLD,Data Scientist,5 reviews
Ubisoft,"Data Scientist, Marketing Analytics",155 reviews
Intrexon Corporation.,Data Scientist - Statistics,-
Ask Media Group,Data Scientist,-
Angaza,Data Scientist,-
NinthDecimal,Data Analyst,4 reviews
Amazon.com,"Head of Machine Learning Research - NLP, Speech, p13N","24,699 reviews"
Google,"Data Scientist, Engineering","2,391 reviews"
Uber,"Data Analyst, Risk",479 reviews
WestCoast Children's Clinic,Health Data Research Analyst,9 reviews
Electronic Arts,Data Scientist I,385 reviews
Siluria Technologies,Data Scientist,4 reviews
Amazon.com,Senior Analyst - Data & Strategy (Goodreads),"24,699 reviews"
University of California San Francisco,Data Coordinator,263 reviews
University of California San Francisco,Biomarker Data Analyst,263 reviews
Square,"Data Scientist, Seller",51 reviews
University of California San Francisco,"Data Scientist, CDHI",263 reviews
Uber,Data Scientist - Research and Economics,479 reviews
University of California San Francisco,Image Data Analysis / Bioinformatics Programmer,263 reviews
University of California San Francisco Medical Cen...,Data Scientist,276 reviews
Kongregate,"Data Analyst, Games and Marketing",-
Plaid,Data Scientist,2 reviews
Amazon.com,SDE II - Subscriptions | Twitch,"24,699 reviews"
23andMe,"Scientist I/II, Protein Science",4 reviews
Essence,Director of Data Science,6 reviews
The Clorox Company,Global Insights Data Analyst Data Science Internship,475 reviews
Eaze,Data Analyst,5 reviews
j2 Global,Data Analyst - IGN,36 reviews
Ubisoft,Marketing Data Analyst,155 reviews
Teespring,Data Scientist,33 reviews
Macy's,Big Data Architect (macys.com),"25,219 reviews"
CyberCube Analytics,Data Scientist,-
Electronic Arts,Research Data Scientist,385 reviews
Castlight Health,Data Science Intern,6 reviews
eSpark,Data Analyst,2 reviews
Rally Health,Data Scientist,8 reviews
"Williams-Sonoma, Inc.",Data Scientist,"1,538 reviews"
Minted,Associate Product Data Specialist,27 reviews
Wish,Data Scientist,14 reviews
SiriusXM,Data Analyst - Automatic Labs,151 reviews
Uber,"Data Science Manager, Uber Eats (SF)",479 reviews
Trulia,Economic Data Analyst,49 reviews
Molekule,Growth Data Analyst,-
Lawrence Berkeley National Laboratory,Data Science Postdoctoral Scholar,120 reviews
Clarivate Analytics,"Manager, Data Science",27 reviews
Fanatics Inc.,Data Scientist,372 reviews
Square,"Data Scientist, Operations",51 reviews
Groupon,Data Scientist,615 reviews
University of California San Francisco,Compliance Data Analyst,263 reviews
U.S. Federal Government,"Student Trainee (Economist), CG-199-4, NTE One Year",467 reviews
Presto US,Data Scientist,-
Sunrun,Data Analytics Intern - Grid Services,195 reviews
Angaza,Data Analyst,-
Sears Holdings Management Corporation,Data Scientist,"23,762 reviews"
ZapLabs LLC,Junior Data Analyst,-
Aera Technology,Data Scientist (Customer Engagement),-
City & County of San Francisco,Technology Expert I - Data Scientist,36 reviews
Samsung NEXT,Developer Evangelist - Data Science and Deep Learning,-
Eaze,Data Scientist,5 reviews
JUUL Labs,Clinical Data Analyst,2 reviews
Siluria Technologies,Data Engineer,4 reviews
Make School,Data Science Instructor,-
"Lumos Labs, Inc.",Data Scientist: Cognitive Research,-
Glassdoor,"Manager, Data Science - Consumer",23 reviews
Narvar,Staff Data Scientist,5 reviews
